n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
1041,0.2743377016140459,31,0.029779058597502402,0.8750810895457153,0.11081125070396669,0.025216311709800102,0.7031493922013458,29,0.0,710430372929708544,130.59739527690746,33.861431992965834,18.147838592529297,2.583751678466797,2.0370200184685974,giant,False,False
183,0.15501188600454152,15,0.08196721311475409,1.2436830721802965,0.14185919796098428,0.10193189631442678,0.7020683570467838,12,0.0,710902196560088832,128.31675718116665,33.28894904338713,17.579858779907227,0.9538002014160156,0.45237402422931633,unknown,False,False
905,0.18758403734172568,25,0.027624309392265192,0.9168691304856506,0.11139842181705772,0.027092481260846638,0.7001579783582291,25,0.0,710652847938929408,128.98458865697714,33.02776410782381,18.16759490966797,0.6028709411621094,0.16397369182339303,unknown,False,False
188,0.15933351048414568,10,0.05319148936170213,1.0079133834581613,0.1017741248687636,0.09585222252959813,0.6995417600126738,10,0.0,710951708943464192,127.80517579236586,33.60811514954047,17.983814239501953,1.2743988037109375,0.4338412907615914,unknown,False,False
985,0.1912234772872463,32,0.03248730964467005,0.8032156145758466,0.1994531688278006,0.03957524930574959,0.6982339737260336,26,0.0,710273383286474112,129.99499889608765,33.03577563026812,17.835798263549805,2.4662208557128906,2.4275713361107076,giant,False,False
1046,0.2866536556122513,34,0.032504780114722756,0.9462333118500706,0.23149885821092145,0.024023704216666008,0.6970786030207146,30,0.0,710408313978360960,130.82858306723764,33.58180754709412,18.148460388183594,2.2203845977783203,1.0904247949312769,unknown,False,False
1796,0.2165685533182944,35,0.019487750556792874,1.0739460218396177,0.14315809264588197,0.019136697444045548,0.6965528949343064,31,0.0,711011323089020672,129.2540542113594,32.95799109474745,16.930301666259766,1.068277359008789,0.5962688026089359,main_sequence,False,False
1012,0.2543999096030861,33,0.03260869565217391,0.8578524006843086,0.4992423211606923,0.0527233236805478,0.6934027755811689,28,0.0026410281525079634,710189644306390912,130.10111500592473,32.58855491903691,18.382570266723633,2.3142318725585938,1.5316515036947451,giant,False,False
1048,0.20991865422944667,38,0.03625954198473282,0.9852567839364658,0.11108865515776438,0.03274754586008898,0.6816043076705448,32,0.0,710393019597259904,130.393664585226,33.5067935831959,18.201894760131836,1.0624675750732422,0.022076566017009858,unknown,False,False
118,0.20174683711810226,5,0.0423728813559322,0.8539317441365386,1.5444464353127199,0.12079160382703322,0.6790974049720395,4,0.014888371293283478,710365158146966016,131.07285686647447,33.605648354552216,18.417966842651367,2.1335525512695312,,unknown,False,False
1052,0.3105865118260511,36,0.034220532319391636,0.939237352815358,0.2517128884671661,0.02433802029753325,0.67769859391074,33,0.0,710440573475046144,130.68600709474597,34.11274236540026,18.00655746459961,0.8352642059326172,0.10199760368394702,unknown,False,False
997,0.21719727644744546,38,0.03811434302908726,0.9295718362985962,1.022714259757319,0.025567030024626996,0.6773298909926119,33,0.0,710355915376786816,130.9862122205679,33.440319799146344,18.09978675842285,0.9559555053710938,0.38136071973443636,unknown,False,False
263,0.14639788988320046,13,0.049429657794676805,1.042664882243761,0.12774417938276758,0.08461063178179198,0.6756785871353425,11,0.0,710104638313316992,131.23029431994928,32.76752955831179,18.292556762695312,0.7857208251953125,0.1230437442819045,unknown,False,False
