name,ra,dec,plx,spt,spt_num,source_id,pmra,pmdec,astrometry_source
WISEPC J083641.12-185947.2,129.1714138,-18.9966025,,T8pec,28.0,WISEPC J083641.12-185947.2,43.04999923706055,-143.11000061035156,catwise2020
WISE J085510.83-071442.5,133.7950962,-7.2457209,,[>or=Y4],34.0,WISE J085510.83-071442.5,100.05000305175781,-250.99000549316406,catwise2020
WISEPA J085716.25+560407.6,134.3167661,56.0687815,,T8,28.0,WISEPA J085716.25+560407.6,-670.9600219726562,-63.790000915527344,catwise2020
ULAS J085910.69+101017.1,134.7938025,10.1700772,,T7,27.0,ULAS J085910.69+101017.1,-387.8999938964844,-540.8599853515625,catwise2020
ULAS J090116.23-030635.0,135.3174936,-3.1103741,62.6,T7.5,27.5,ULAS J090116.23-030635.0,-13.010000228881836,-299.9100036621094,catwise2020
WISEPA J090649.36+473538.6,136.7050194,47.593295,,T8,28.0,WISEPA J090649.36+473538.6,-675.8099975585938,-953.0199584960938,catwise2020
WISE J091408.96-345941.5,138.5373458,-34.994632,,T8,28.0,WISE J091408.96-345941.5,-73.73999786376953,118.69999694824219,catwise2020
WISEPC J092906.77+040957.9,142.27664,4.16731,,T6.5,26.5,WISEPC J092906.77+040957.9,,,none
2MASSI J0937347+293142,144.39533,29.52805,162.84,T6pec,26.0,2MASSI J0937347+293142,,,none
2MASS J09393548-2448279,144.89787,-24.80776,187.3,T8,28.0,2MASS J09393548-2448279,,,none
WISEA J094020.09-220820.5,145.0836336,-22.1389125,,T8,28.0,WISEA J094020.09-220820.5,-206.75,220.6300048828125,catwise2020
WISE J094305.98+360723.5,145.7761748,36.122566,,T9.5,29.5,WISE J094305.98+360723.5,695.280029296875,-522.3900146484375,catwise2020
ULAS J095047.28+011734.3,147.69631,1.29346,,T8,28.0,ULAS J095047.28+011734.3,,,none
WISEPC J095259.29+195507.3,148.2469885,19.9189695,,T6,26.0,WISEPC J095259.29+195507.3,-56.290000915527344,32.68000030517578,catwise2020
WISEPC J101808.05-244557.7,154.5335526,-24.7668738,,T8,28.0,WISEPC J101808.05-244557.7,155.72999572753906,-1094.300048828125,catwise2020
WISEPA J101905.63+652954.2,154.7731446,65.4984794,,T6,26.0,WISEPA J101905.63+652954.2,-92.0,80.4800033569336,catwise2020
WISE J102557.72+030755.7,156.4888477,3.1320139,,T8.5,28.5,WISE J102557.72+030755.7,-1626.72998046875,-228.66000366210938,catwise2020
CFBDS J102841.01+565401.9,157.1716177,56.900375,,T8,28.0,CFBDS J102841.01+565401.9,192.87001037597656,-3.56000018119812,catwise2020
ULAS J102940.52+093514.6,157.41988,9.5877,,T8,28.0,ULAS J102940.52+093514.6,,,none
WISE J103907.73-160002.9,159.7820054,-16.0009331,,T7.5,27.5,WISE J103907.73-160002.9,-215.86000061035156,-109.0,catwise2020
WISEPC J104245.23-384238.3,160.6886365,-38.7107696,64.8,T8.5,28.5,WISEPC J104245.23-384238.3,84.51000213623047,-100.29000091552734,catwise2020
