kepoi_name,tic_id,era,scope,sector,author,exptime_s,flux_column,n_points,status,median_flux,smeared,no_flat_core,exptime_over_duration,n_transits,n_transits_seen,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,reduction_author,reduction_flux_column
K00897.01,268924036.0,kepler,ensemble,6,Kepler,1765.462885941888,SAP_FLUX,4276,OK,1.0,True,False,0.2360219256935605,42,43,13860.710027186258,92.09607692395987,bootstrap,428.7977834125375,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,7,Kepler,1765.462885941888,SAP_FLUX,4227,OK,1.0,True,False,0.2360219256935605,41,43,14241.51268424445,47.59726980029518,bootstrap,428.3646339453227,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,8,Kepler,1765.462885941888,SAP_FLUX,3109,OK,1.0,True,False,0.2360219256935605,31,32,13750.891668392844,75.05529955359283,bootstrap,431.2040157424215,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,9,Kepler,1765.462885941888,SAP_FLUX,4612,OK,1.0,True,False,0.2360219256935605,46,46,14175.122725920002,97.95498727640806,bootstrap,361.2601373768483,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,10,Kepler,1765.462885941888,SAP_FLUX,4443,OK,1.0,True,False,0.2360219256935605,44,45,13785.613165962302,111.05340457341052,bootstrap,393.0582067961205,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,11,Kepler,1765.462885941888,SAP_FLUX,4475,OK,1.0,True,False,0.2360219256935605,46,47,13954.205515025644,64.83619542883598,bootstrap,370.9240386809789,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,12,Kepler,1765.462885941888,SAP_FLUX,3551,OK,1.0,True,False,0.2360219256935605,35,37,13941.197211660396,104.93549869962007,bootstrap,505.50332453726656,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,13,Kepler,1765.462885941888,SAP_FLUX,4249,OK,1.0,True,False,0.2360219256935605,42,43,13824.072680470903,70.04479889950218,bootstrap,436.42938716668806,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,14,Kepler,1765.462885941888,SAP_FLUX,4270,OK,1.0,True,False,0.2360219256935605,44,45,13905.973901022699,90.22582114319073,bootstrap,369.8665922485149,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,15,Kepler,1765.462885941888,SAP_FLUX,4369,OK,1.0,True,False,0.2360219256935605,42,45,13850.402780078353,102.38467147237907,bootstrap,319.230197321713,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,16,Kepler,1765.462885941888,SAP_FLUX,3535,OK,1.0,True,False,0.2360219256935605,36,37,13859.744911762331,101.1684437926921,bootstrap,491.62343071263143,Kepler,SAP_FLUX
K00897.01,268924036.0,kepler,ensemble,17,Kepler,1765.462885941888,SAP_FLUX,1286,OK,1.0,True,False,0.2360219256935605,13,13,13766.85290591929,107.11450626605154,bootstrap,338.0686249978258,Kepler,SAP_FLUX
