Teff,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
13750.0,3775721.90925416,3507518.7395256795,3515604.4052829836,3990249.0236214204,3647539.46925608,3380648.3620598153,2779713.267759288,2917427.014001166,2558585.886905648,2606153.5499988976,2365919.6974857566,2426610.0950824143,2197859.872784823,2233572.2228305326,1995262.3149688789,1725837.8919902039,1905460.7179632483,1931968.3170169222,1667247.2125510643,1573982.8644662197,1489361.0777109154,1499684.835502374,1428893.9585111036,1442115.351524868,1374041.975012515,1425607.593602188,1303166.7784523,1282330.5826560205
14000.0,3483373.1503601163,3235936.569296281,3243396.1734934933,3672823.00498085,3349654.3915782794,3111716.33710602,2558585.886905648,2685344.445658509,2355049.283896009,2398832.91901949,2177709.7723531593,2233572.2228305326,2023019.1786782718,2055890.5959841404,1836538.3433483473,1588546.7485977774,1753880.5018417602,1778279.410038923,1534616.9827992942,1448771.8535447603,1370881.7661648523,1383566.3789717809,1315224.8321922377,1330454.41797809,1264736.3474711522,1312199.899019204,1199499.3031493782,1183041.5557251659
14250.0,3176874.070649769,2937649.6519615306,2937649.6519615306,3311311.2148259077,3019951.720402019,2805433.6379517163,2312064.790175594,2421029.04673618,2128139.0459827133,2167704.1048196964,1967886.289706843,2013724.2498623894,1828100.2161427408,1857804.455091699,1663412.6503701697,1442115.351524868,1584893.1924611141,1606941.2530128788,1389952.6312133525,1315224.8321922377,1244514.6117713843,1253141.1749414157,1193988.104464273,1205035.9403717986,1148153.6214968816,1191242.0080273738,1088930.0933334331,1071519.305237607
14500.0,2930893.245250318,2710191.6318908418,2710191.6318908418,3054921.1132155154,2786121.168629772,2582260.1906345957,2133044.913146575,2233572.2228305326,1963360.2768360474,1995262.3149688789,1811340.0926196026,1857804.455091699,1682674.0610704673,1710015.315090286,1531087.4616820288,1327394.45772974,1458814.2602753474,1479108.3881682071,1282330.5826560205,1210598.1335504828,1145512.941445536,1153453.257821093,1099005.839432522,1109174.8152624008,1056817.5092136585,1096478.196143185,1002305.2380779005,986279.4856312099
14750.0,2703958.364108846,2500345.3616964296,2500345.3616964296,2811900.8303989395,2570395.7827688647,2382319.469358689,1963360.2768360474,2055890.5959841404,1807174.1260109257,1836538.3433483473,1667247.2125510643,1710015.315090286,1548816.6189124826,1573982.8644662197,1409288.7984218749,1221799.660164871,1342764.9611378643,1361444.682465951,1177605.9735208065,1114294.5335917291,1054386.896391258,1061695.5571987242,1011579.4542598983,1020939.4837076807,970509.9672454898,1009252.8860766834,920449.5717531722,907820.5301781861
15000.0,2460367.6041476275,2280342.0720004165,2275097.4307720717,2558585.886905648,2333458.0622810046,2167704.1048196964,1786487.5748520498,1866379.6908346694,1640589.7731995387,1667247.2125510643,1517050.3674593368,1552387.0099580816,1406047.524129913,1428893.9585111036,1279381.3041575253,1109174.8152624008,1218989.5989248673,1235947.4334445095,1069054.8792226578,1011579.4542598983,954992.5860214368,963829.0236239705,918332.596483581,926829.8233793485,881048.8730080146,914113.2414702509,835603.0182312474,824138.115013003
15250.0,2197859.872784823,2023019.1786782718,2013724.2498623894,2249054.605835783,2046444.636724674,1896705.9212111444,1570362.8043335516,1640589.7731995387,1442115.351524868,1465547.8409559128,1333521.432163324,1361444.682465951,1235947.4334445095,1256029.9636948754,1124604.9739669268,979489.9854086981,1073989.412341244,1086425.6236170644,944060.8762859226,891250.9381337459,845278.8451602891,851138.0382023759,810961.0578538404,818464.7881347903,779830.1105232594,807235.0302488382,739605.2750582374,727779.8045368242
15500.0,1981527.0258050968,1828100.2161427408,1815515.662773137,2027682.7195212839,1845015.4191794738,1710015.315090286,1415793.779957081,1475706.5332758932,1297179.2709839572,1318256.7385564074,1196740.5313072442,1224616.1992650488,1111731.7272815919,1127197.4561755094,1011579.4542598983,879022.5168308843,963829.0236239705,974989.6377173867,847227.4141405963,799834.2550070276,758577.5750291835,763835.7835776907,727779.8045368242,734513.8681571144,698232.4040771718,724435.9600749906,662216.5037017615,653130.5526474729
15750.0,1753880.5018417602,1610645.6351782698,1599558.028614668,1778279.410038923,1618080.0376430645,1496235.6560944328,1241652.307592412,1291219.2736135335,1137627.2858234309,1153453.257821093,1049542.428652322,1071519.305237607,972747.2237769661,986279.4856312099,885115.6098308356,770903.4690644293,843334.7577642757,853100.1140175895,741310.2413009177,701455.2984199714,663743.070401909,668343.9175686149,636795.5209079162,642687.7173170194,612350.3917247733,633869.7112569263,580764.4175213124,572796.0309858292
16000.0,1548816.6189124826,1425607.593602188,1412537.5446227554,1570362.8043335516,1428893.9585111036,1321295.6341865766,1093956.366272093,1137627.2858234309,1002305.2380779005,1013911.3857366799,922571.4271547628,941889.5965228418,855066.7128846841,866961.8757582161,778036.551039804,677641.5076106758,741310.2413009177,749894.2093324559,651628.3940608428,616595.0018614822,583445.1042737447,587489.3525297769,559757.6014951104,564936.9748123023,537031.7963702532,557185.7489319304,509330.87105719524,502342.5895223866
16250.0,1361444.682465951,1253141.1749414157,1241652.307592412,1380384.2646028837,1253141.1749414157,1158777.3561551261,959400.6315159335,995405.4173515275,877000.8211436339,887156.0120379617,805378.441199066,822242.6499470712,746448.758410067,756832.8950209736,677641.5076106758,590201.0801718442,645654.2290346549,653130.5526474729,567544.6054085465,537031.7963702532,508159.442560561,510504.99997540645,487528.490103386,490907.8761526029,467735.1412871981,484172.3675840989,443608.64393143274,437522.10515825206
