Unnamed: 0.1,Unnamed: 0,Names,Class,[H/Mg],[C/Mg],[O/Mg],[Na/Mg],[Mg/Mg],[Al/Mg],[Si/Mg],[P/Mg],[S/Mg],[K/Mg],[Ca/Mg],[Ti/Mg],[Cr/Mg],[Mn/Mg],[Fe/Mg],[Co/Mg],[Ni/Mg],[Cu/Mg],[Zn/Mg],[He/Mg],[Li/Mg],[Be/Mg],[B/Mg],[N/Mg],[F/Mg],[Ne/Mg],[Cl/Mg],[Ar/Mg],[Sc/Mg],[V/Mg],[Ga/Mg],[Ge/Mg]
63,63,Cold_Bokkeveld,CC,,-0.59846,0.58004,-1.14296,0.0,-1.13596,-0.03096,,-0.71846,,-1.25896,,-1.74296,-1.60696,-0.07668,,,,,,,,,,,,,,,,,
64,64,Cold_Bokkeveld,CC,,-0.632701,0.589199,-1.373201,0.0,-1.014201,-0.009201,-2.041201,-0.699401,-2.641201,-1.222201,-2.666201,-1.924201,-2.239201,-0.094791,,,,,,,,,,,,,,,,,
65,65,Haripura,CC,,-0.1283,0.5786,-1.2971,0.0,-1.002,-0.0081,-2.1401,-0.4207,-2.4791,-1.0961,-2.6501,-1.8781,-2.2231,-0.07074,,,,,,,,,,,,,,,,,
66,66,Mighei,CC,,,,,0.0,-1.06144,-0.02244,-2.20244,,-2.63444,-1.19844,-2.59944,34.60756,-2.20544,-0.12237,,,,,,,,,,,,,,,,,
67,67,Mighei,CC,,-0.36874,0.57676,-1.37524,0.0,-1.05824,-0.01824,-2.05724,-0.62554,-2.65824,-1.21224,-2.68324,-2.00824,-2.21224,-0.1033,,,,,,,,,,,,,,,,,
68,68,Murchison,CC,0.355417,-0.446883,0.714217,-1.805583,0.0,-1.068583,-0.009583,-2.183583,-0.722983,-2.765583,-1.166583,-2.482583,-1.893583,-2.244583,-0.096293,,-1.324583,,,,,,,,,,,,,,,
69,69,Murchison,CC,0.57289,-0.34001,0.81809,-1.50341,0.0,-0.87391,0.05959,-2.05741,-0.74711,-2.76441,-1.07141,-2.42941,-1.85741,-2.07641,0.09093,,,,,,,,,,,,,,,,,
70,70,Murchison,CC,0.61156,-0.23694,0.82056,-1.93234,0.0,-0.93454,0.05966,-2.02334,-0.86744,-2.41534,-1.27534,-2.41034,-1.85534,-2.13734,0.04858,,,,,,,,,,,,,,,,,
71,71,Murray,CC,,,,,0.0,-1.0575,-0.0225,-2.2135,,-2.8685,-1.2085,-2.5935,34.5975,-2.2215,-0.12206,,,,,,,,,,,,,,,,,
72,72,Murray,CC,-0.25738,-0.32608,0.61532,-1.83958,0.0,-1.05758,-0.01158,-2.03658,-0.74978,-2.76158,-1.15558,-2.63858,-1.92758,-2.21958,-0.1101,,,,,,,,,,,,,,,,,
73,73,Nawapali,CC,,-0.328764,0.605036,-1.406264,0.0,-1.034264,0.006736,-2.083264,-0.706364,-2.116264,-1.053264,-2.595264,-1.948264,-2.267264,-0.071804,,,,,,,,,,,,,,,,,
74,74,Nogoya,CC,-0.09338,-0.54445,0.62225,-1.91095,0.0,-1.01065,-0.01895,-2.34895,-0.66565,,-1.02195,,-2.01095,-2.67995,-0.08984,,,,,,,,,,,,,,,,,
75,75,Santa_Cruz,CC,-0.63286,-0.39476,0.58864,-1.51206,0.0,-1.08706,-0.03106,-2.06606,-0.70786,-2.31406,-1.10706,-2.54306,-2.01006,-2.29206,-0.10337,,,,,,,,,,,,,,,,,
76,76,Y74642,CC,0.492794,,0.749094,-1.708206,0.0,-0.832106,-0.002206,-2.132206,-0.741906,-2.573206,-1.120206,-2.201206,-1.852206,-2.132206,-0.083056,-2.893206,-1.414206,,,,,,,,,,,,,,,
