tail,v_esc,v0,m_chi_gev,delta_keV,rate_at_event_per_ty,mean_rate_livetime_per_ty,bayes_factor_timing,energy_density_at_event_per_keV,peak_date,fractional_modulation,fraction_of_year_on
sharp,500.0,220.0,1000.0,60.0,5.071644940906538,4.775147879271727,1.0620917025254577,1.5574022647751323e-05,2023-05-31,0.06551293147868152,1.0
sharp,500.0,220.0,1000.0,80.0,2.3890782927125547,2.184901724419226,1.0934488567661327,2.5323741411435834e-05,2023-05-31,0.09765923803029145,1.0
sharp,500.0,220.0,1000.0,100.0,1.033511889090894,0.9193420774555122,1.1241864311828005,4.373641929069894e-05,2023-05-31,0.12872341892978129,1.0
sharp,500.0,220.0,1000.0,120.0,0.42043938479720183,0.36379125086064373,1.1557160426550723,7.823273832359835e-05,2023-05-31,0.16014052255765493,1.0
sharp,500.0,220.0,1000.0,140.0,0.1636607411083958,0.13767510197969327,1.1887461040888523,0.00014215227768800046,2023-05-31,0.19255887362867352,1.0
sharp,500.0,220.0,1000.0,160.0,0.062240637448275765,0.05092064083151463,1.2223066409202616,0.00025628088578068356,2023-05-31,0.2248546623717606,1.0
sharp,500.0,220.0,1000.0,180.0,0.02395907760006972,0.01914796750975667,1.2512595703884286,0.00044072802718386425,2023-05-31,0.25194375084128195,1.0
sharp,500.0,220.0,1000.0,200.0,0.009803138008979296,0.007717966202284721,1.270171150280149,0.0006843118555448779,2023-05-31,0.2691811724027416,1.0
sharp,500.0,220.0,1000.0,220.0,0.004369869867737032,0.0033914602772230737,1.288492127442837,0.0009269464136995478,2023-05-31,0.2869148069328102,1.0
sharp,500.0,220.0,1000.0,240.0,0.002020704298190916,0.001512641638500427,1.3358777431210753,0.0011317533398634537,2023-05-31,0.3332040890122831,1.0
sharp,500.0,220.0,1000.0,260.0,0.0008619208218514163,0.0005938861428864211,1.451323342319937,0.001359593127226598,2023-05-31,0.4388257139717132,1.0
sharp,500.0,220.0,1000.0,280.0,0.0002883331457837074,0.00016932190318952648,1.702869743089106,0.0017782655105142867,2023-05-31,0.6358991574967781,1.0
sharp,500.0,220.0,1000.0,300.0,5.792285392515408e-05,2.5562023156337196e-05,2.265972985428353,0.002837924449208135,2023-05-31,0.9088520083313055,1.0
sharp,500.0,220.0,1000.0,320.0,3.416366310685097e-06,9.986966951221545e-07,3.420824688187466,0.0062976413047815295,2023-05-31,0.9998446566324088,0.7671232876712328
sharp,500.0,220.0,1000.0,340.0,3.4367697840991115e-09,6.510020484027349e-10,5.279199646961777,0.013546453631357326,2023-05-31,1.0,0.410958904109589
sharp,500.0,220.0,1000.0,360.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,1000.0,380.0,0.0,0.0,0.0,0.0,,,0.0
