halo,m_chi_gev,delta_keV,timing,energy_per_keV,profile,sigma_n_for_one_event_cm2,events_at_ceiling,sideband_per_window_event,sideband_factor,marginal,physical,marginal_rel_global
shm_lz,500,260.0,1.3296591339897759,0.001613869369856633,0.002145896148696196,1.5522974089145146e-43,644206.4479765362,0.026219518816564792,0.9741212281971017,0.002090362991951369,True,0.0459965353923966
shm_lz,500,270.0,1.3752795030292313,0.0017342271270624067,0.002385047021446198,2.3797920904191077e-43,420204.7750414571,0.028478737418085834,0.9719229595179772,0.002318081959673525,True,0.05100728405120938
shm_lz,500,280.0,1.442550432090286,0.0018769994131188428,0.0027076663144278,3.84334015011115e-43,260190.3451015336,0.031202614189658567,0.9692791634667522,0.002624484540195682,True,0.05774939400702748
shm_lz,500,290.0,1.5406184098616273,0.002067495102704819,0.0031852210175258,6.694793549714796e-43,149369.80394901065,0.034808120781898814,0.9657907136466228,0.0030762568796384644,True,0.06769023322035832
shm_lz,500,300.0,1.684774441145878,0.0023419624610887535,0.00394567849656543,1.2966390765223507e-42,77122.46361431964,0.03990061759176545,0.9608849294655425,0.0037913430038659804,True,0.0834250526504221
shm_lz,500,310.0,1.901152658085325,0.002758393013266557,0.005244126209215705,2.912919883286296e-42,34329.814758647626,0.04750420499606396,0.9536064632127711,0.005000832647011584,True,0.1100387716034881
shm_lz,500,320.0,2.2310174409142114,0.0034178899497129406,0.007625372088934967,8.07669154639433e-42,12381.307299601272,0.059683939242391404,0.942062235439681,0.0071835750761614255,True,0.15806803244547882
shm_lz,500,330.0,2.717512785885019,0.004497191004511788,0.012221174055327876,3.03835513212654e-41,3291.254499601901,0.0808843722918241,0.922300328752639,0.011271592848972122,True,0.24802114341033657
shm_lz,500,340.0,3.389401884829583,0.006214510082176382,0.021063472185821077,1.8648695483611193e-40,536.2305373471394,0.12164733151273385,0.885460587490416,0.018650874456245168,True,0.41039551997856294
shm_lz,500,350.0,4.2558125916983505,0.008291542245473314,0.03528724989288415,2.875342818043185e-39,34.77846167506907,0.23040006591106582,0.7942158002689351,0.028025691412966857,True,0.6166798359597564
shm_lz,500,360.0,5.3790828418063885,0.010560420743727653,0.05680537802484168,2.524022250518484e-37,0.3961930208002645,0.5981564621088523,0.5498243243180121,0.010217031771300391,False,0.22481648655440417
shm_lz,500,370.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,500,380.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,500,390.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,500,400.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,500,410.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,500,420.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
shm_lz,500,430.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,False,0.0
