n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,glint_max_brighten,glint_sigma,glint_events,glint_score,is_glint,resists_mundane,is_candidate,shared_epoch_frac,rejected_shared_epoch
548,0.2288029067163505,10,0.01824817518248175,0.8570596658652836,0.10885806434774518,0.03712559251724694,0.6588623222448259,1,0.0,0.2288029067163505,571215300007446,150.9432214,21.07096925,,,,unknown,0.0032774118485540326,1.2938814237040648,0.02437409974573421,0.04265467455503486,False,0.3908308653784305,8.168179753789994,1,0.32446014186513916,False,False,False,0.8666666666666667,
545,0.32540405238183745,6,0.011009174311926606,0.8745656908747184,0.12206412943691114,0.03949723072199864,0.6581508307834004,1,0.0,0.32540405238183745,571215300015749,150.9158376,21.0214195,,,,unknown,0.008035800417379729,2.406234737708667,0.059762174317009475,0.10458380505476658,False,0.32098899629378996,6.213933033888357,2,0.2082583587548404,False,False,False,0.918918918918919,
537,0.26458480318859035,3,0.00558659217877095,0.9037364693816373,0.3636414986027478,0.04313146757564812,0.6570605597273056,1,0.0,0.26458480318859035,571215300008135,150.7973352,21.0035888,,,,unknown,0.008485298023807215,2.3180141435917014,0.0631052218478803,0.1104341382337905,False,0.4675638317937607,7.906097612265587,3,0.2661347881098955,False,False,False,0.9047619047619048,
521,0.5468774455379792,66,0.12667946257197696,0.933662001227375,0.9954193466652658,0.05315140019270938,0.6540545799421872,12,0.07593127994483158,0.5085299695007839,571216400005768,149.2701339,21.1772467,,,,unknown,0.0023391076290391736,0.6092781881388265,0.01744073673730667,0.030521289290286666,False,0.5791736180980913,8.560166997422249,18,0.0,False,False,False,0.9955947136563876,
520,0.3177157783507102,18,0.03461538461538462,0.7935167113370127,0.5503299802660971,0.05369077385872811,0.6538927678423816,1,0.0,0.2555712659923578,571215300007489,150.96291200000002,21.066991899999998,,,,unknown,0.003004820371094971,1.9097400063766408,0.0222893341017136,0.05983966801133212,False,0.8045441002225562,12.903381322486654,12,0.0,False,False,False,0.9795918367346939,
527,0.347499981986263,72,0.1366223908918406,0.8365911073668196,1.0015796659219214,0.059967709098564394,0.6520096872704306,10,0.05883290182104272,0.347499981986263,571215300007384,150.8920223,21.075634,,,,unknown,0.004369869860648783,0.9842508562735918,0.03249875328231282,0.11937281824404741,False,0.6062968215402151,11.418897093974136,12,0.0,False,False,False,0.9712643678160919,
420,0.4679873486664161,46,0.10952380952380952,0.7495102530030208,0.24976003759746587,0.0777256719009004,0.6466822984297299,6,0.11351624049467668,0.43390666717915594,571215300007597,150.8971153,21.05555485,,,,unknown,-0.017664348701081876,2.4601936114606375,-0.13105557158423886,0.0,False,1.415236926589996,17.74584285466499,16,0.0,False,False,False,1.0,
520,0.43070937495860395,80,0.15384615384615385,0.6477370107043265,0.1664853137486262,0.07902326055579414,0.6462930218332618,12,0.08419610633481846,0.4274376957593198,571216400024394,149.21088244999999,21.07147375,,,,unknown,0.0019144680527369282,0.38726960501859886,0.014274529349800972,0.024980426362151698,False,0.9934755802748512,17.77953263093342,28,0.0,False,False,False,0.9953051643192489,
433,0.4359462745358098,59,0.13625866050808313,0.7272137225769516,0.10007056578603606,0.08016005031287089,0.6459519849061388,6,0.0996618006841422,0.4257803739659032,571216400013424,149.6236316,21.1564,,,,unknown,-0.009581942973515823,1.0159264723568031,-0.07152203126003238,0.0,False,1.3178514564465251,18.514004958151933,20,0.0,False,False,False,1.0,
567,0.25385303638406065,14,0.024691358024691357,0.958236516516783,0.11471305045630158,0.05141029465740309,0.6398053396209482,1,0.0,0.19348313000801576,571216400007168,149.2627993,21.0378828,,,,unknown,-0.000977065458798295,0.648706877887476,-0.007279830118149897,0.0,False,0.4111015860494269,9.272872631633376,3,0.26804683357688736,False,False,False,0.8833333333333333,
530,0.3178754127531054,27,0.0509433962264151,0.6790096689586825,0.3332094288466785,0.06650479637624428,0.6397407313916286,5,0.04343594323183271,0.27152410784945213,571216400006174,149.35633265,21.1363306,,,,unknown,0.0017694446914546132,0.48790834457024723,0.01315936318676067,0.023028885576831172,False,0.9130220682819268,15.443877447941166,14,0.0,False,False,False,0.9945054945054945,
568,0.3000487910216524,13,0.022887323943661973,0.8882856889208607,0.8005501027793165,0.03460162512405076,0.6383626596528117,1,0.0,0.1906219767014824,571216400005976,149.30193865,21.15512815,,,,unknown,0.0016032456275772754,1.0868005189909888,0.01195402209233829,0.020919538661592005,False,0.44472856602933697,9.341844576918946,1,0.3734521206281666,False,False,False,0.8771929824561403,
581,0.255402523545207,96,0.16523235800344235,1.2589270562667314,0.4993679187981511,0.25626813615126254,0.6382184025661899,20,0.023002736178621294,0.255402523545207,571216400006613,149.2061358,21.0921742,,,,unknown,0.014646352654747017,2.7947115645141754,0.10916523355262744,0.29520582538376466,False,0.24234678374713892,7.409675610779033,0,0.0,False,False,False,0.8795180722891566,
550,0.47925506319710287,77,0.14,0.8585758901869571,1.006563093280328,0.10731622173485257,0.6378051334795443,10,0.06317476751000478,0.3542498198558225,571216400033606,149.18096939999998,21.093750149999998,,,,unknown,0.003423500730360608,0.9186868896158062,0.02552615262759999,0.0655041004316333,False,0.7330652730159017,14.087133775128896,19,0.0,False,False,False,0.9948453608247423,
571,0.17721372227743937,29,0.050788091068301226,0.8792370101418046,0.19822231579105148,0.03937957901295869,0.636537230124975,2,0.0,0.17721372227743937,571216300006272,149.0986162,21.108962,,,,unknown,0.0011788656909314113,1.3874120886774728,0.008760802153912103,0.01533140376934618,False,0.1207852324013261,5.35770483147284,0,0.0,False,False,False,0.7142857142857143,
563,0.2985409414762752,90,0.15985790408525755,0.6919294821912039,1.001652594095472,0.08063721981270004,0.6364574107211862,14,0.04883142682595365,0.2534979443218909,571216400006580,150.0273266,21.1077521,,,,unknown,0.005841478202558143,1.847789950371579,0.04355490452072757,0.13872108291127322,False,0.7445950664588841,18.369612367263148,12,0.0,False,False,False,1.0,
571,0.17335272205769703,21,0.03677758318739054,1.1235459341316398,0.16847007538669792,0.03756483508698916,0.6357428088525816,2,0.0,0.17335272205769703,571216300005841,148.9505175,21.1525986,,,,unknown,0.0004505368244851267,0.5981048791161125,0.003348188018982448,0.06835932903321927,False,0.1539668153952456,6.675971057708959,0,0.0,False,False,False,0.4,
584,0.19076387092399627,108,0.18493150684931506,0.8724679628308992,0.9972956197769046,0.15233132409147795,0.628870496140467,20,0.024355436432636587,0.19076387092399627,571216400013558,149.62749065,21.1400409,,,,unknown,0.005462797296026923,1.8581121044050704,0.04070163666628421,0.07122786416599736,False,0.3294736068641062,14.258662817568805,1,0.401721056583999,False,False,False,1.0,
566,0.2122018438562372,14,0.024734982332155476,0.99135868823492,0.15254910380602066,0.03561522916789362,0.6250183701735119,1,0.0,0.1848689436428882,571216300012889,149.01290375000002,21.18307175,,,,unknown,1.3868123388244524e-05,0.013709117953484075,0.00010313710698757156,0.10434715660389489,False,0.2417424268608539,6.1856638289309585,0,0.0,False,False,False,0.7241379310344828,
559,0.19642815468570374,12,0.02146690518783542,0.9297018611389468,0.3786427523801566,0.03495442070117732,0.6240088744131005,1,0.0,0.1843361179221119,571216300006153,148.9500734,21.1169691,,,,unknown,0.0025727434255194176,1.385381675071541,0.019126473468359936,0.03347132856962988,False,0.24594226996921353,5.121190024579534,0,0.0,False,False,False,0.9166666666666666,
560,0.22552935715658706,6,0.010714285714285714,0.946681080333579,102.06402758262111,0.029901062888823524,0.6202309775968132,1,0.0,0.18200057196917363,571216300005542,149.07074260000002,21.1834459,,,,unknown,-0.0012458247198391008,0.6235136915910756,-0.009261799374890549,0.0,False,0.2858591512051647,5.678705003814903,0,0.0,False,False,False,0.9322033898305084,
397,0.4445473334737432,34,0.08564231738035265,0.8167036182680398,0.34321025513140185,0.07034302130540902,0.6188970936083773,5,0.1187241882724468,0.4443482378155672,571216400014266,149.3046065,21.0563491,,,,unknown,-0.020152717720384045,2.7617107115021367,-0.14108626180014178,0.0,False,1.0747304454114235,11.739046396282733,18,0.0,False,False,False,1.0,
493,0.5070904779018535,50,0.10141987829614604,0.9361615048774904,0.1664853137486262,0.07492072872952639,0.6175237813811421,5,0.10117014021276405,0.5070904779018535,571216400005905,149.6249687,21.1698992,,,,unknown,-0.0015317819028541548,0.2506846786302484,-0.011400231671408263,0.0,False,1.274525865955785,18.121114407923805,15,0.0,False,False,False,0.9952830188679245,
