n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate
502,0.47787622180003175,49,0.09760956175298804,0.8170848434572483,0.1038571985750553,0.0577988435427473,0.6526603469371759,7,0.09943169004528053,0.42558539724374367,623209300029045,176.2989322,27.047304500000003,,,,unknown,-0.012346829692245646,1.29156920960665,-0.0870132096521037,0.0,False,False,False
486,0.4305897508540909,8,0.01646090534979424,0.7006502882529635,0.1393660043371611,0.058251544746140034,0.6525245365761579,1,0.0,0.399786388536449,623209300000343,175.7964038,27.062229,,,,unknown,-0.008165602083032419,1.613908506293028,-0.05728852915705883,0.0,False,False,False
581,0.5334428171149167,74,0.12736660929432014,0.7505124755750312,0.4986230079112846,0.060486550357366956,0.6518540348927899,9,0.10720718483210506,0.5334428171149167,623210300020631,174.3062021,26.9401696,,,,unknown,0.00511012040261967,1.0475480577273335,0.0358590930188352,0.06275341278296159,False,False,False
833,0.24340834993581284,16,0.01920768307322929,0.857597959655532,0.14213870060419592,0.02783724208210622,0.6511114546926465,2,0.0,0.18211586499291688,623210300001336,174.4903461,26.9931046,,,,unknown,0.0018309261544659473,0.506341331583182,0.01355630237072807,0.02372352914877412,False,False,False
811,0.32799342851014224,14,0.01726263871763255,0.8227484674884136,0.9977316714771763,0.06429852274688484,0.6507104431759345,1,0.0,0.22289575739467704,623210300002387,173.6837024,26.907502,,,,unknown,0.0003118966714737135,0.06987867200930689,0.002189093822884406,0.00383091419004771,False,False,False
305,0.2581295922190665,8,0.02622950819672131,1.073606830244317,0.3849511970933476,0.08475858415936988,0.6489888345668481,1,0.0,0.21304646965498364,623209300002019,175.7257873,26.8892639,,,,unknown,-0.017489175763382082,3.127319733295554,-0.12977770923719112,0.0,False,False,False
458,0.4396071726152021,5,0.010917030567685589,0.7444359375844206,0.997289076767501,0.07519320207168398,0.6474420393784948,1,0.0,0.4396071726152021,623209300002496,176.18792785,26.83538195,,,,unknown,-0.022442719836906405,2.4462329430920433,-0.15816311838808436,0.0,False,False,False
387,0.25463507515768613,2,0.00516795865633075,0.861028979182417,0.9967271922952662,0.07540497722765606,0.6473785068317032,1,0.0,0.25463507515768613,623209300000083,175.8610576,27.084097,,,,unknown,0.008040239752050142,1.39961855622657,0.05651886515873135,0.09890801402777985,False,False,False
554,0.6894427159347531,87,0.15703971119133575,0.992415123105,0.9972264824514708,0.07817503463108222,0.6465474896106753,11,0.1283814899479689,0.6894427159347531,623210300020764,173.67443105,26.9232844,,,,unknown,-0.010320241513380853,1.4968099323933366,-0.07249008313227571,0.0,False,False,False
776,0.47097747993131955,56,0.07216494845360824,0.7766245357145886,0.27323699254127054,0.037410699697599734,0.6465301686190131,5,0.044082207157235646,0.2921884583680504,623210300001775,174.10034625,26.9569654,,,,unknown,0.0022484722508258103,0.7977146955138977,0.01575676042147834,0.02757433073758709,False,False,False
635,0.4376701210677292,89,0.14015748031496064,0.8626637726941307,0.997225015163674,0.06289585428829077,0.6447026722849414,13,0.051224369924135364,0.4376701210677292,623209300000515,176.0653466,27.0429757,,,,unknown,0.0033560271767630735,0.8811663528318903,0.02368784581593281,0.11356911479326705,False,False,False
316,0.5489296923306677,5,0.015822784810126583,0.6084006107081339,0.49864007634726965,0.09421743515558494,0.6417347694533245,1,0.0,0.4992378677423579,623210300011820,174.41554305,26.9631826,,,,unknown,-0.012247736307879767,1.4279966591838706,-0.08542801973779032,0.0,False,False,False
834,0.1496420662252279,19,0.022781774580335732,1.0578751271827103,0.11152088054501517,0.027806404534269198,0.6409859363811985,4,0.0,0.1496420662252279,623210300003007,173.87855735,26.85520405,,,,unknown,0.006053453948108402,1.5935181563185463,0.044853137581701445,0.07849299076797751,False,False,False
229,0.39186745201143025,48,0.2096069868995633,0.6045235669486887,0.11546999831492176,0.09794515824502652,0.640616452526492,6,0.12137302588808052,0.39186745201143025,623210300039297,174.1264831,26.8578974,,,,unknown,-0.013834670510061724,1.3756660043822255,-0.08898469269428842,0.0,False,False,False
642,0.3028864312636318,46,0.07165109034267912,0.7096047414716409,0.9839501444132334,0.05187520829753775,0.6396636662210655,5,0.04492459042989107,0.3028864312636318,623209300008749,176.30999765,27.0355141,,,,unknown,2.1932287520959118e-05,0.002981691026040944,0.00016274896571719243,0.0895705249757194,False,False,False
416,0.4370231198312562,97,0.23317307692307693,0.5991251040966687,0.3513864822411153,0.06208568060864183,0.6385171529602646,14,0.0948399306604497,0.4370231198312562,623210300037464,174.12474535,26.85845695,,,,unknown,-0.004350346455496968,0.8383130504457686,-0.030598500420227163,0.0,False,False,False
210,0.4681514641376052,48,0.22857142857142856,0.7828986006030543,0.12390832185018613,0.11423976774460211,0.6357280696766194,7,0.06851720560406997,0.4681514641376052,623210400032319,174.7410408,27.1090689,,,,unknown,-0.0036271014694171932,0.5872578056885576,-0.01641799728809792,0.0,False,False,False
94,0.854926580449292,72,0.7659574468085106,1.5624674050838119,1.032236908304371,0.22926125735010094,0.6349696670999985,9,0.22063561067942664,0.8070929551981704,623210300029818,174.07680545,26.969076299999998,,,,unknown,0.02570899556798546,0.9798277309273888,0.15225279218940754,0.26644238633146317,False,False,False
650,0.21222680371954317,18,0.027692307692307693,0.7833265131186556,0.2979384896544603,0.04207794292501078,0.6319744630708546,1,0.0,0.18879316733015783,623209300002545,176.2356024,26.82937995,,,,unknown,-0.004096084773995439,1.1298781716705963,-0.03041737294201876,0.0,False,False,False
542,0.4276521602133452,13,0.023985239852398525,1.118843128948638,0.4992104776583549,0.15374053987593092,0.631008425774139,1,0.0,0.4276521602133452,623210200015945,174.0347908,27.178336350000002,20.19523048400879,0.9226264953613281,2.754369491038128,unknown,0.03157519504320663,5.615340729541946,0.22200021897422054,0.5832657199018172,True,False,False
580,0.5825393586371561,59,0.10172413793103448,1.7571884973150853,0.9977434329413252,0.293733477319105,0.6273112666431736,11,0.08377708216159291,0.5825393586371561,623210200007937,173.75026474999999,27.1576067,19.956737518310547,0.33345794677734375,-0.8025846153266251,unknown,0.15817965825134356,6.921077043547061,1.1173366137498353,0.6877246250222265,True,False,False
694,0.38195073256319534,133,0.19164265129682997,0.8865467252660666,27.34353302017709,0.06693199500961851,0.6273097614619491,23,0.033965451440293226,0.2995769721047169,623210200016443,174.25672215,27.129276400000002,,,,unknown,0.012684189870917897,3.2633432588871636,0.08970404670723699,0.2020880039870993,False,False,False
172,0.5271123108750486,2,0.011627906976744186,0.738420744651443,0.5086155166476459,0.14270895959884305,0.6271873121203471,1,0.0,0.5271123108750486,623209300002591,175.87077715,26.8312089,,,,unknown,-0.019466526990286438,1.7767698847416156,-0.1366018451650337,0.0,False,False,False
469,0.47462449072368584,104,0.22174840085287847,0.6076054266929232,0.20695263575249995,0.05778246005510425,0.6269509762691831,16,0.10176658257588404,0.4594903351197871,623210400010968,175.2991671,26.8124738,,,,unknown,-0.00229252422525326,0.2989028652093209,-0.016121509072778466,0.0,False,False,False
