star,channels,n_channels,ra,dec,phot_g_mean_mag,bp_rp,ruwe,abs_b,ipd_frac_multi_peak,non_single_star,systematics,main_id,otype,families,trace_verdict,in_groups
gaia:3883500912123698304,"ignition(score=1.63,pct=0.0334); cenotaph(score=1.84,pct=0.0366)",2,156.62425980029687,12.4199167146302,9.862127304077148,0.7052192687988281,0.8193690180778503,53.047365738529535,0.0,0.0,,TYC  841-29-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3883587666167860608,"ignition(score=1.67,pct=0.0306); cenotaph(score=2.88,pct=0.0066)",2,155.04829564436,11.92722875278221,12.115007400512695,0.8275880813598633,0.9690528512001038,51.46061662311632,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3887211656492755712,"ignition(score=1.99,pct=0.0161); cenotaph(score=1.69,pct=0.0469)",2,156.4626105605076,13.76861559838636,10.941295623779297,0.7162961959838867,0.8948552012443542,53.54409437601872,0.0,0.0,,TYC  844-914-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3918481187366291200,"ignition(score=2.32,pct=0.0080); cenotaph(score=2.07,pct=0.0245)",2,179.56157557556338,11.010883025130818,10.01363754272461,0.7541046142578125,1.1427431106567383,69.59825105000725,0.0,0.0,,BD+11  2416,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3923576942725178752,"ignition(score=1.57,pct=0.0368); cenotaph(score=1.97,pct=0.0292)",2,177.52438498345222,14.530279845391712,10.691549301147461,0.6302528381347656,1.0613449811935425,70.95288264597885,0.0,0.0,,TYC  870-219-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4000112641464733056,"ignition(score=1.45,pct=0.0461); cenotaph(score=3.35,pct=0.0032,FLAG)",2,180.2882730965866,21.772572904271644,11.638738632202148,0.8800783157348633,1.1787962913513184,77.37466024560746,0.0,0.0,,TYC 1444-1613-1,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4032919762039554816,"ignition(score=1.61,pct=0.0346); cenotaph(score=1.83,pct=0.0372)",2,177.00693244088447,38.01750665843027,11.39973258972168,0.7828359603881836,0.9220870733261108,72.8095889377844,0.0,0.0,,TYC 3014-49-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4336517054437923328,"ignition(score=1.83,pct=0.0224); cenotaph(score=2.17,pct=0.0208)",2,255.8840653719813,-8.770136500936708,12.782716751098633,1.6161317825317383,0.9774182438850403,19.23609243037386,1.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4356452437204771968,"ignition(score=1.73,pct=0.0272); cenotaph(score=2.33,pct=0.0160)",2,243.0275390580203,-4.647293064512235,10.866687774658203,0.9728384017944336,0.8591375350952148,32.09010667720638,0.0,0.0,,BD-04  4065,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4373918140749319424,"ignition(score=1.75,pct=0.0264); cenotaph(score=2.63,pct=0.0096)",2,261.8766291020576,-0.0651545299219903,12.713102340698242,1.187575340270996,0.9969004392623901,18.55263679319633,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4421763698470227968,"ignition(score=1.5,pct=0.0421); cenotaph(score=2.07,pct=0.0248)",2,228.32388988868064,2.2422230889280548,11.191125869750977,0.8422298431396484,0.9009168744087219,47.91565278515672,0.0,0.0,,TYC  339-408-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4437965418921653376,"ignition(score=1.51,pct=0.0419); cenotaph(score=2.49,pct=0.0121)",2,244.96649212807768,5.917218802939158,12.861387252807617,1.0072412490844727,0.9806456565856934,36.20784136930635,1.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4489365629014193024,"ignition(score=1.42,pct=0.0491); cenotaph(score=1.98,pct=0.0289)",2,265.23556924969864,9.92551164733968,12.043578147888184,1.3743915557861328,1.0547003746032715,20.122189745134314,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4555500016474402688,"ignition(score=1.89,pct=0.0201); cenotaph(score=2.31,pct=0.0164)",2,264.4373884262023,20.260827286672736,9.858957290649414,0.6694927215576172,1.140317678451538,24.9452479286239,0.0,0.0,,BD+20  3532,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4562687627063152000,"ignition(score=1.58,pct=0.0365); cenotaph(score=1.75,pct=0.0426)",2,250.418453255658,19.1295946644588,12.65286636352539,1.2106285095214844,0.9382259845733643,36.90448953990861,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4616009199366093312,"ignition(score=1.93,pct=0.0181); cenotaph(score=1.66,pct=0.0496)",2,56.50933823079177,-82.43782047047502,11.81791877746582,0.7811079025268555,1.0405454635620117,32.46373838966255,0.0,0.0,,TYC 9375-86-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:4636413416461338240,"tailings(score=5.06,pct=0.0629); ignition(score=1.77,pct=0.0251); cenotaph(score=1.84,pct=0.0363)",3,15.460291862487793,-75.95835876464844,12.0444974899292,1.5915727615356445,1.0576584339141846,41.15296580944848,1.0,0.0,,UCAC2    674630,*,,UNEXPLAINED,cenotaph+ignition@0.05
