n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,tier,first_veto,flags,centroid
54,54,9e+34,0.02881241,0.842,5409.0,3000.0,3.0,True,3822.7483402,4.138425139499666e+20,1.2415275418499e+21,3.0147777761485073e+36,1.566524484545618e+37,-1.5250127957103672,-2.240694677789861,0,0,[],kepler_okamoto2021:kepler:11235995,kepler:11235995,11235995,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,5.302,own,own,own,4.53,False,False,-,bolometric,False,none,below_ceiling,,not_checked
4,4,7e+34,0.03997344,1.163,5451.0,3000.0,3.0,True,3837.9612442,1.0899607147296796e+21,3.269882144189039e+21,1.2886023448292903e+37,6.695774195990164e+37,-2.265020877268846,-2.98070275934834,0,0,[],kepler_okamoto2021:kepler:11243947,kepler:11243947,11243947,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,9.454,own,own,own,4.59,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,1e+33,0.00828379,0.743,5167.0,3000.0,3.0,True,3732.6325738,9.555875251117733e+19,2.866762575335319e+20,3.345094236783477e+35,1.7381619522644458e+36,-2.524408357063052,-3.240090239142546,0,0,[],kepler_okamoto2021:kepler:11284655,kepler:11284655,11284655,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,11.465,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,1e+34,0.0209249299999999,0.944,5671.0,3000.0,3.0,True,3915.5843722,3.6692370380656856e+20,1.1007711114197058e+21,2.516901982458125e+36,1.3078206333864916e+37,-2.400866302832256,-3.11654818491175,0,0,[],kepler_okamoto2021:kepler:11395310,kepler:11395310,11395310,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,9.574,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
9,9,2e+35,0.0054181199999999,1.36,5852.0,3000.0,3.0,True,3976.8486368,1.9368549617250733e+20,5.81056488517522e+20,9.652688702381412e+35,5.015684178651211e+36,-0.6836183048265525,-1.3993001869060464,0,0,[],kepler_okamoto2021:kepler:11403440,kepler:11403440,11403440,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,0.939,own,own,own,4.51,False,False,-,bolometric,False,none,below_ceiling,,not_checked
17,17,1e+35,0.0252740999999999,1.307,5572.0,3000.0,3.0,True,3881.0828128,8.585673655047288e+20,2.575702096514187e+21,9.008743358090838e+36,4.681080362568599e+37,-1.9546642148737376,-2.670346096953232,0,0,[],kepler_okamoto2021:kepler:11408490,kepler:11408490,11408490,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,2.886,own,own,own,4.57,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,3e+34,0.0032328699999999,0.818,5886.0,3000.0,3.0,True,3988.0951432,4.1675202915228254e+19,1.2502560874568478e+20,9.634279342168138e+34,5.006118394483943e+35,-0.5066979796402578,-1.2223798617197517,0,0,[],kepler_okamoto2021:kepler:11413690,kepler:11413690,11413690,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,24.238,own,own,own,,False,False,1,bolometric,False,none,below_ceiling,,not_checked
1,1,6e+33,0.0096823,0.719,5228.0,3000.0,3.0,True,3755.7429728,1.0373780994009272e+20,3.112134298202782e+20,3.783626534266831e+35,1.9660300182647696e+36,-1.7997570120946378,-2.515438894174132,0,0,[],kepler_okamoto2021:kepler:11414507,kepler:11414507,11414507,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,12.975,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,4e+34,0.0184940699999999,1.062,5783.0,3000.0,3.0,True,3953.7704138,4.058273174075582e+20,1.2174819522226744e+21,2.92761905842609e+36,1.521235486320283e+37,-1.8644545743689849,-2.5801364564484786,0,0,[],kepler_okamoto2021:kepler:11441482,kepler:11441482,11441482,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,9.247,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,3e+33,0.0149998099999999,0.744,5232.0,3000.0,3.0,True,3757.2491008,1.7198997516855253e+20,5.159699255056577e+20,8.077135163065678e+35,4.197002544609266e+36,-2.430136095721707,-3.145817977801201,0,0,[],kepler_okamoto2021:kepler:11462675,kepler:11462675,11462675,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,11.297,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
4,4,2e+34,0.03255945,0.805,5267.0,3000.0,3.0,True,3770.3788538,4.3506756486313325e+20,1.3052026945894e+21,3.249658395215503e+36,1.6885720343267986e+37,-2.2108077145855702,-2.926489596665064,0,0,[],kepler_okamoto2021:kepler:11462734,kepler:11462734,11462734,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,18.041,own,own,own,4.44,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,1e+34,0.01034209,0.945,5267.0,3000.0,3.0,True,3770.3788538,1.9044072054844585e+20,5.713221616453376e+20,9.411143027755045e+35,4.890173364410801e+36,-1.9736423737460385,-2.6893242558255324,0,0,[],kepler_okamoto2021:kepler:11466671,kepler:11466671,11466671,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,10.948,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,5e+33,0.0121326399999999,0.848,5762.0,3000.0,3.0,True,3946.6789448,1.7010064666640223e+20,5.103019399992066e+20,7.944409036711441e+35,4.12803602630806e+36,-2.201091592406776,-2.916773474486263,0,0,[],kepler_okamoto2021:kepler:11599385,kepler:11599385,11599385,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,14.599,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,1e+34,0.00476456,0.695,5120.0,3000.0,3.0,True,3714.64448,4.840496554074465e+19,1.4521489662223394e+20,1.205972827835396e+35,6.26641863107526e+35,-1.081337522684656,-1.79701940476415,0,0,[],kepler_okamoto2021:kepler:11600907,kepler:11600907,11600907,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,29.087,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,2e+34,0.00347328,1.294,5928.0,3000.0,3.0,True,4001.8736128,1.1161136751894073e+20,3.3483410255682214e+20,4.222457566165587e+35,2.1940533112207263e+36,-1.3245352981331848,-2.0402171802126787,0,0,[],kepler_okamoto2021:kepler:11652015,kepler:11652015,11652015,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,3.57,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
