n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
2,0,,0.004902,0.77,5147.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:112996041,tess:112996041,112996041,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,10.79,tu2022_stars,tu2022_stars,tu2022_stars,4.61,False,False,,bolometric,False,,
4,0,,0.006512,1.24,5917.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:113168337,tess:113168337,113168337,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.3,tu2022_stars,tu2022_stars,tu2022_stars,4.28,False,False,,bolometric,False,,
18,0,,0.003732,1.12,5945.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:113350540,tess:113350540,113350540,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.13,tu2022_stars,tu2022_stars,tu2022_stars,4.38,False,False,,bolometric,False,,
1,0,,0.009736,0.87,5605.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:113354470,tess:113354470,113354470,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.17,tu2022_stars,tu2022_stars,tu2022_stars,4.55,False,False,,bolometric,False,,
1,0,,0.004274,0.95,5710.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:113769637,tess:113769637,113769637,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.39,tu2022_stars,tu2022_stars,tu2022_stars,4.49,False,False,,bolometric,False,,
3,0,,0.004418,0.75,5489.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:114300579,tess:114300579,114300579,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,0.78,tu2022_stars,tu2022_stars,tu2022_stars,4.68,False,False,,bolometric,False,,
4,0,,0.005026,1.17,5719.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:114472503,tess:114472503,114472503,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.9,tu2022_stars,tu2022_stars,tu2022_stars,4.31,False,False,,bolometric,False,,
1,1,2.0299999493669876e+34,0.004287,0.93,5872.0,3000.0,3.0,True,3983.4742527999997,7.152714572852198e+19,2.1458143718556592e+20,2.166252077543212e+35,1.1256175980919436e+36,-1.0282129651512477,-1.7438948472307416,0,0,[],tess_tu2022:tess:1145487,tess:1145487,1145487,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.86,tu2022_stars,tu2022_stars,tu2022_stars,4.53,False,False,,bolometric,False,,
1,0,,0.008621,1.1,5447.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:11487944,tess:11487944,11487944,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,8.11,tu2022_stars,tu2022_stars,tu2022_stars,4.33,False,False,,bolometric,False,,
4,0,,0.009947,0.8,5395.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:11487972,tess:11487972,11487972,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,0.22,tu2022_stars,tu2022_stars,tu2022_stars,4.6,False,False,,bolometric,False,,
1,0,,0.004164,0.93,5584.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1149120,tess:1149120,1149120,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,66.58,tu2022_stars,tu2022_stars,tu2022_stars,4.5,False,False,,bolometric,False,,
2,0,,0.002176,1.67,5754.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:114917400,tess:114917400,114917400,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,11.62,tu2022_stars,tu2022_stars,tu2022_stars,4.0,False,False,,bolometric,False,,
3,1,1.0399999880858562e+34,0.008196,1.04,5568.0,3000.0,3.0,True,3879.6740608,1.7636247967894163e+20,5.290874390368248e+20,8.387102379816869e+35,4.358066235037397e+36,-1.9065786100791726,-2.6222604921586665,0,0,[],tess_tu2022:tess:114923140,tess:114923140,114923140,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,4.38,tu2022_stars,tu2022_stars,tu2022_stars,4.4,False,False,,bolometric,False,,
1,0,,0.00387,1.02,5811.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:114928475,tess:114928475,114928475,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.36,tu2022_stars,tu2022_stars,tu2022_stars,4.44,False,False,,bolometric,False,,
1,0,,0.001992,1.32,5797.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:115043101,tess:115043101,115043101,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.97,tu2022_stars,tu2022_stars,tu2022_stars,4.21,False,False,,bolometric,False,,
1,0,,0.010037,1.0,5566.1,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:115082433,tess:115082433,115082433,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,3.45,tu2022_stars,tu2022_stars,tu2022_stars,4.43,False,False,,bolometric,False,,
3,0,,0.014856,1.18,5902.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:11517988,tess:11517988,11517988,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,7.21,tu2022_stars,tu2022_stars,tu2022_stars,4.32,False,False,,bolometric,False,,
2,0,,0.003111,0.95,5865.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:11518057,tess:11518057,11518057,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,0.24,tu2022_stars,tu2022_stars,tu2022_stars,4.51,False,False,,bolometric,False,,
