key,name,pdes,kind,class,is_comet,neo,H,H_effective,diameter_m,diameter_measured,albedo,a_au,e,i_deg,q_au,moid_au,tisserand_j,comet_like_dynamics,A_magnitude_au_day2,A_sigma_au_day2,A_snr,epsilon_1au,epsilon_1au_rho_1000,g_law_assumed,epsilon_at_perihelion,del_vigna_R,a2_snr,orbit_rms_arcsec,data_arc_days,n_obs_used,condition_code,reliable,tier,known_as,standing_exceedance,components_fitted,fails
50609716,(2012 TC4),2012 TC4,au,APO,False,Y,26.71,26.71,16.160729576065442,False,,1.620463638689087,0.4037967031926717,0.5342599686391775,0.9661257637428332,0.000101229,4.232600497598883,False,2.3884774474266246e-11,7.972507215998512e-12,2.995892487414301,2.271862542840558,1.135931271420279,radiation,2.271862542840558,17.050772208849168,4.057437440791159,0.29703,1897.0,805.0,0.0,False,untestable,,,A1|A2,arc_1897d_below_3650d|a_snr_3.0_below_3
50625727,(2013 BA74),2013 BA74,au,APO,False,Y,25.4,25.4,29.543433231029685,False,,1.754557348253017,0.4447288151545136,5.222478240029403,0.9742551376438074,0.00861475,4.001998352811965,False,2.468805559099627e-10,1.8364377637052349e-09,0.1344344800511243,42.92870552341181,21.464352761705904,radiation,42.92870552341181,322.1883213872901,0.797568391113176,0.35711,2559.0,99.0,4.0,False,untestable,,,A1|A2|A3,arc_2559d_below_3650d|only_99_observations|condition_code_4_above_2|a_snr_0.1_below_3
50654506,(2013 XY20),2013 XY20,au,APO,False,Y,25.64,25.64,26.452149168430967,False,,1.13418390061362,0.1093322140987145,2.852646901565624,1.010181063564416,0.0286482,5.5155817517576695,False,1.767245816406876e-10,5.461314046637162e-11,3.2359351638001277,27.514262003214114,13.757131001607057,radiation,27.514262003214114,206.4999114448284,1.6735711882795157,0.54269,2250.0,72.0,2.0,False,interest,,,A1|A2|A3,arc_2250d_below_3650d|only_72_observations
50729304,(2015 TC25),2015 TC25,au,APO,False,Y,29.34,29.34,4.813499855387318,False,,1.028401225528296,0.1162856089052357,3.743420398817443,0.9088129628188475,0.00167809,5.941804815079258,False,1.600098469444845e-10,2.1328602555714178e-11,7.502125210805994,4.533228558442267,2.2666142792211335,radiation,4.533228558442267,34.02276593019802,1.901097542306716,0.40716,562.0,48.0,2.0,False,interest,,,A1|A2,arc_562d_below_3650d|only_48_observations
50752035,(2016 GW221),2016 GW221,au,ATE,False,Y,24.75,24.75,39.85299485298384,False,,0.8280581688421442,0.2667979401047085,3.760609109768254,0.6071339551081832,0.0223114,7.052258410579061,False,5.155496269112605e-11,5.32800345038096e-11,0.9676225470056667,12.09292566236969,6.046462831184845,radiation,12.09292566236969,90.75976953685044,9.648832335288951,0.38708,3300.0,209.0,3.0,False,untestable,,,A1|A2|A3,arc_3300d_below_3650d|condition_code_3_above_2|a_snr_1.0_below_3
50755370,(2016 NJ33),2016 NJ33,au,AMO,False,Y,25.53,25.53,27.826652405874064,False,,1.314508350622172,0.2099895743561496,6.619681269649745,1.038475301587418,0.0333255,4.935375782664466,False,9.513318187897184e-10,2.916366168546565e-10,3.2620451747451025,155.8091394532966,77.9045697266483,radiation,155.8091394532966,1169.3780300428248,2.873808936206185,0.54486,2261.0,90.0,3.0,False,interest,dark_comet: 2016NJ33,,A1|A2|A3,arc_2261d_below_3650d|only_90_observations|condition_code_3_above_2
50788063,'Oumuamua (A/2017 U1),2017 U1,au,HYA,False,,22.08,22.08,136.28904962325143,False,,-1.27234500742808,1.201133796102373,122.7417062847286,0.2559115812959116,0.0958212,,,2.7983430379729446e-07,3.5680585882322276e-08,7.8427608986077955,224471.83569392416,112235.91784696208,radiation,224471.83569392416,1684704.9790846135,0.5894740940332246,0.43612,80.0,207.0,,False,interest,"1I/'Oumuamua -- interstellar, non-grav acceleration, no coma",,A1|A2|A3,arc_80d_below_3650d
54000953,(2020 CD3),2020 CD3,au,APO,False,Y,31.74,31.74,1.593899605370694,False,,1.02902259300666,0.01237013808536905,0.6339870686443386,1.016293441438203,0.0211265,5.9468104879684525,False,1.356929036480999e-10,2.503e-12,54.21210693092284,1.2729696288774526,0.6364848144387263,radiation,1.2729696288774526,9.553885748578054,,0.64154,742.0,128.0,0.0,False,interest,,,A1,arc_742d_below_3650d
54016433,(2020 GE),2020 GE,au,ATE,False,Y,28.17,28.17,8.25013325183184,False,,0.9872736634635993,0.04953894916812334,1.671854881156746,0.9383651636342493,0.00124848,6.14113764594501,False,1.763938917928914e-10,1.257923929539592e-11,14.022619941529586,8.565336875685684,4.282668437842842,radiation,8.565336875685684,64.28452655272378,88.81937173331299,0.4674,1699.0,58.0,1.0,False,interest,,,A1|A2,arc_1699d_below_3650d|only_58_observations
54088822,(2020 WY),2020 WY,au,APO,False,Y,26.2,26.2,20.43906209650203,False,,1.02037071354967,0.02860139044097063,1.70009609616035,0.9911866923769038,0.0241892,5.985318788064104,False,6.218351643397273e-11,2.863e-11,2.171970535591084,7.4805957076803935,3.7402978538401968,radiation,7.4805957076803935,56.143332174786785,,0.55116,360.0,99.0,2.0,False,untestable,,,A1,arc_360d_below_3650d|only_99_observations|a_snr_2.2_below_3
54134666,(2021 GM1),2021 GM1,au,ATE,False,Y,30.4,30.4,2.954343323102968,False,,0.9780116137912364,0.02550279901268023,1.178558670083117,0.9530695801726514,0.000231211,6.1879390075764755,False,5.761714152844855e-11,1.108e-11,5.200103026033262,1.0018728662769085,0.5009364331384543,radiation,1.0018728662769085,7.51925158454151,,0.37238,344.0,113.0,1.0,False,interest,,,A1,arc_344d_below_3650d
54216314,(2021 VH2),2021 VH2,au,APO,False,Y,28.8,28.8,6.172498074173501,False,,1.020006809021666,0.07867543999243934,1.326249329453419,0.9397573245266027,0.00438083,5.984751508949756,False,8.1442016362185e-11,2.169e-11,3.754818642793223,2.9587578540598147,1.4793789270299074,radiation,2.9587578540598147,22.206055709532365,,0.31997,917.0,47.0,2.0,False,interest,,,A1,arc_917d_below_3650d|only_47_observations
20001221,1221 Amor (1932 EA1),1221,an,AMO,False,Y,17.37,17.37,1000.0,True,,1.919716404387892,0.4347308667341825,11.87012941381945,1.085156428024515,0.10902,3.781530004604371,False,7.196175174695263e-15,2.122e-15,3.391222985247532,0.04235470584538084,0.02117735292269042,radiation,0.04235470584538084,0.31788034166866613,3.391222985247532,0.40562,33947.0,686.0,0.0,True,ordinary,,,A2,
20001566,1566 Icarus (1949 MA),1566,an,APO,False,Y,16.53,16.53,1000.0,True,0.51,1.077994212612045,0.8270188506567441,22.80164022873813,0.1864726778830097,0.0338047,5.299576013579431,False,3.744797770502992e-15,2.834e-16,13.213824172558194,0.022040848668863716,0.011020424334431858,radiation,0.022040848668863716,0.16542087509952258,13.213824172558194,0.35997,27807.0,1792.0,0.0,True,ordinary,,,A2,
20001580,1580 Betulia (1950 KA),1580,an,AMO,False,Y,14.54,14.54,5800.0,True,0.08,2.194758150792221,0.487636671923457,52.19064411003266,1.124513590463021,0.134079,3.066409048131193,False,2.942167785348174e-15,4.921e-16,5.978800620500251,0.1004373794150219,0.05021868970751095,radiation,0.1004373794150219,0.753802153680511,5.978800620500251,0.48812,26722.0,2255.0,0.0,True,ordinary,,,A2,
20001620,1620 Geographos (1951 RA),1620,an,APO,False,Y,15.27,15.27,2560.0,True,0.29,1.245803622701412,0.3355177775897499,13.33675505969153,0.8278143598993745,0.0295314,5.0744830040123565,False,3.692137959997899e-15,2.413e-16,15.301027600488599,0.055631123257337635,0.027815561628668817,radiation,0.055631123257337635,0.41752244798986754,15.301027600488599,0.28705,27374.0,9433.0,0.0,True,ordinary,,,A2,
20001627,1627 Ivar (1929 SH),1627,an,AMO,False,Y,12.79,12.79,9120.0,True,0.15,1.863110322447066,0.3973348248655942,8.456346737468884,1.12283170877228,0.11013,3.879580899669853,False,1.702778268376787e-15,3.756e-16,4.533488467456835,0.09140140683722948,0.04570070341861474,radiation,0.09140140683722948,0.6859854142413773,4.533488467456835,0.27982,35397.0,14477.0,0.0,True,ordinary,,,A2,
20001685,1685 Toro (1948 OA),1685,an,APO,False,Y,14.26,14.26,3400.0,True,0.31,1.367859437152221,0.4359922205687941,9.381775895529861,0.7714833637222431,0.0509443,4.715184121829392,False,2.427151832690405e-15,2.336e-16,10.390204763229475,0.04857086132955489,0.024285430664777445,radiation,0.04857086132955489,0.3645338029484662,10.390204763229475,0.31506,28515.0,5512.0,0.0,True,ordinary,,,A2,
20001862,1862 Apollo (1932 HA),1862,an,APO,False,Y,16.09,16.09,1500.0,True,0.25,1.47071514163711,0.5601800481273319,6.35217898608049,0.6468498628132382,0.0263183,4.413991292288949,False,3.655520450769462e-15,1.995e-16,18.323410780799307,0.03227308041677941,0.016136540208389706,radiation,0.03227308041677941,0.24221577330833963,18.323410780799307,0.45836,34822.0,3695.0,0.0,True,ordinary,,,A2,
