n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
1028,0.05911730701494977,5,0.0048638132295719845,1.0788908903380674,1.0028225174471384,0.046899636562154005,0.2906635624516378,0,0.0,0.0,712205300010155,160.6246047,39.17621565,,,,unknown,False,False
951,0.29092900605454597,4,0.004206098843322818,0.8480346430493433,0.19677951221354853,0.031135617507394703,0.2906593147477816,0,0.0,0.0,712205300017541,161.1062027,39.0032796,,,,unknown,False,False
1037,0.25228730905438135,14,0.013500482160077145,0.9242503290287324,0.49868228954161803,0.031225431440127425,0.29063237056796176,0,0.0,0.0,712206400003709,159.1182153,39.1262658,,,,unknown,False,False
1047,0.18813844547427028,9,0.008595988538681949,0.8160984727834463,0.9621565816250373,0.031231761671975115,0.2906304714984075,0,0.0,0.0,712206400003403,159.7686383,39.1545809,,,,unknown,False,False
74,0.4620014217166617,1,0.013513513513513514,1.489340538025277,0.1474656135530397,0.12913553856872148,0.29061977071090017,0,0.0,0.0,1711215300007174,160.84755535,39.143953350000004,,,,unknown,False,False
861,0.40623198415884043,2,0.0023228803716608595,0.8896325416270723,0.1666635091729578,0.0314334006101055,0.2905699798169683,0,0.0,0.0,712205300011164,160.4673359,39.0563664,,,,unknown,False,False
76,0.05984010775098014,2,0.02631578947368421,1.471389036782194,1.54789971155405,0.30012102016397196,0.29055128039329503,1,0.0,0.05984010775098014,1711216400007819,159.6825731,39.0132134,,,,unknown,False,False
880,0.3807209103918886,3,0.003409090909090909,0.8562251396660279,1.2775516372593727,0.031541703100502985,0.2905374890698491,0,0.0,0.0,712205300003687,160.98034124999998,39.090924900000005,,,,unknown,False,False
1049,0.13579668478084705,15,0.014299332697807437,0.82934974289172,1.0327759224676882,0.031706590668812276,0.2904880227993563,0,0.0,0.0,712206400003759,159.1795631,39.1187705,,,,unknown,False,False
964,0.5079184975831339,9,0.00933609958506224,0.8564743062413235,1.0350285499440302,0.031730511891397306,0.29048084643258076,0,0.0,0.0,712206400009888,159.5689881,39.168709,,,,unknown,False,False
1015,0.2186673298571431,8,0.007881773399014778,0.9661845220141466,0.1429194201829835,0.03184925145936287,0.29044522456219113,0,0.0,0.0,712205300003119,161.1420042,39.1637595,,,,unknown,False,False
1019,0.12664014740089713,22,0.021589793915603533,0.9157915855337365,0.19945184458779722,0.03209754745681236,0.29037073576295624,0,0.0,0.0,712206300003678,158.7404943,39.1091866,,,,unknown,False,False
1028,0.11536962375268478,10,0.009727626459143969,1.1070807578252495,0.9972269805015354,0.05356568040270972,0.29035514134870205,0,0.0,0.0,712205300011210,161.19468254999998,39.03122725,,,,unknown,False,False
867,0.3305827921758161,0,0.0,0.8102907608044783,27.423932492971176,0.03226787936181759,0.29031963619145473,0,0.0,0.0,712206300010564,158.8999064,39.1113469,,,,unknown,False,False
844,0.49319894298878164,5,0.005924170616113744,0.7993522051206441,1.2084451130636877,0.032408377375262656,0.29027748678742116,0,0.0,0.0,712205300003291,160.9496884,39.1459051,,,,unknown,False,False
705,0.44250576081711535,2,0.0028368794326241137,0.796795857526715,0.18292426981986776,0.03251834699807622,0.2902444959005771,0,0.0,0.0,712205300010470,160.4790661,39.1419607,,,,unknown,False,False
837,0.5221698734092395,4,0.0047789725209080045,0.7918348359644153,0.5319948534135643,0.032630523613362675,0.2902108429159912,0,0.0,0.0,712205300017394,160.6642771,39.036701,,,,unknown,False,False
1049,0.19463133541460798,26,0.02478551000953289,0.8463387936066242,1.0028225174471384,0.03312403916683959,0.29006278824994813,0,0.0,0.0,712206400010308,159.1378921,39.1197751,,,,unknown,False,False
