table_name,description
"'J/ApJS/240/26/table5'","Data from the 2MASS, Spitzer/GLIMPSE360, AllWISE, AKARI, MSX, and Herschel/Hi-GAL point source catalogs and the classification of YSO candidates ( Sewilo M., Whitney B.A., Yung B.H.K., Robitaille T.P., Elia D., Indebetouw R., Schisano E., Szczerba R., Karska A., Wiseman J., Babler B., Boyer M.L., Fischer W.J., Meade M., Olmi L., Padgett D., Siodmiak N.)"
"'J/ApJS/244/30/table1'","Catalog of Herschel-selected ultrared sources ( Ma J., Cooray A., Nayyeri H., et al.)"
"'J/ApJS/244/30/table3'","Spectroscopically confirmed Herschel-selected ultrared dusty star-forming galaxies (DSFGs) at z>=~4. ( Ma J., Cooray A., Nayyeri H., et al.)"
"'J/ApJS/244/30/table5'","Properties of the Herschel unlensed derived from magphys+photo-z SED fitting ( Ma J., Cooray A., Nayyeri H., et al.)"
"'J/ApJS/266/32/table7'","*Observation details for Herschel/PACS ( Pokhrel R., Megeath S.T., Gutermuth R.A., Furlan E., Fischer W.J., Federman S., Tobin J.J., Stutz A.M., Hartmann L., Osorio M., Watson D.M., Stanke T., Manoj P., Narang M., Atnagulov P., Habel N., Zakri W.)"
"'J/ApJS/266/32/table8'","*Observation details for Herschel/SPIRE ( Pokhrel R., Megeath S.T., Gutermuth R.A., Furlan E., Fischer W.J., Federman S., Tobin J.J., Stutz A.M., Hartmann L., Osorio M., Watson D.M., Stanke T., Manoj P., Narang M., Atnagulov P., Habel N., Zakri W.)"
"'J/MNRAS/393/1467/table5'","Photometric and kinematic data on 24 field early-type galaxies in the FORS Deep Field and the William Herschel Deep Field ( Fritz A., Bohm A., Ziegler B.L.)"
"'J/MNRAS/400/1413/table1'","Sources observed with LIRIS on the William Herschel Telescope (139 from the + HIP 71819) ( Wright N.J., Barlow M.J., Greimel R., Drew J.E., Matsuura M., Unruh Y.C., Zijlstra A.A.)"
"'J/MNRAS/417/2239/table2'","SPIRE sample of 84 SPIRE-detected, submm-bright (f250um>17.4mJy) galaxies in the GOODS-N field, observed as part of the Herschel/HerMES survey ( Symeonidis M., Georgakakis A., Seymour N., et al.)"
"'J/MNRAS/419/3505/HeViCS'","The Herschel Virgo Cluster Survey  right Galaxy Sample ( Davies J.I., Bianchi S., Cortese L., et al.)"
"'J/MNRAS/422/1071/tablea1'","The 1204 IRDCs which were found to be Herschel-bright ( Wilcock L.A., Ward-Thompson D., Kirk J.M., et al.)"
"'J/MNRAS/423/197/sag2'","MIPS 24-160{mu}m photometry for the  Herschel-SPIRE Local Galaxies ( Bendo G.J., Galliano F., Madden S.C.)"
