name,main_id,ra,dec,plx,pmra,pmdec,rvz_radvel,gaia_dr3,resolved_by
Kepler-417  b,,,,,,,,,catalogue_position
Kepler-417  c,,,,,,,,,catalogue_position
Kepler-364  b,,,,,,,,,catalogue_position
Kepler-364  c,,,,,,,,,catalogue_position
Kepler-367  b,,,,,,,,,catalogue_position
Kepler-367  c,,,,,,,,,catalogue_position
Kepler-368  b,,,,,,,,,catalogue_position
Kepler-368  c,,,,,,,,,catalogue_position
Kepler-379  b,,,,,,,,,catalogue_position
Kepler-379  c,,,,,,,,,catalogue_position
Kepler-124  b,,,,,,,,,catalogue_position
Kepler-124  c,,,,,,,,,catalogue_position
Kepler-124  d,,,,,,,,,catalogue_position
Kepler-396  b,,,,,,,,,catalogue_position
Kepler-396  c,,,,,,,,,catalogue_position
Kepler-398  b,,,,,,,,,catalogue_position
Kepler-398  d,,,,,,,,,catalogue_position
Kepler-398  c,,,,,,,,,catalogue_position
Kepler-445  b,,,,,,,,,catalogue_position
Kepler-445  c,,,,,,,,,catalogue_position
Kepler-445  d,,,,,,,,,catalogue_position
Kepler-399  b,,,,,,,,,catalogue_position
Kepler-399  c,,,,,,,,,catalogue_position
Kepler-399  d,,,,,,,,,catalogue_position
Kepler-449  b,,,,,,,,,catalogue_position
Kepler-449  c,,,,,,,,,catalogue_position
Kepler-401  b,,,,,,,,,catalogue_position
Kepler-401  c,,,,,,,,,catalogue_position
Kepler-401  d,,,,,,,,,catalogue_position
Kepler-128  b,,,,,,,,,catalogue_position
Kepler-128  c,,,,,,,,,catalogue_position
Kepler-130  b,,,,,,,,,catalogue_position
Kepler-130  c,,,,,,,,,catalogue_position
Kepler-130  d,,,,,,,,,catalogue_position
Kepler-446  b,,,,,,,,,catalogue_position
Kepler-446  c,,,,,,,,,catalogue_position
Kepler-446  d,,,,,,,,,catalogue_position
Kepler-134  b,,,,,,,,,catalogue_position
Kepler-134  c,,,,,,,,,catalogue_position
Kepler-137  b,,,,,,,,,catalogue_position
Kepler-137  c,,,,,,,,,catalogue_position
Kepler-138  b,,,,,,,,,catalogue_position
Kepler-138  c,,,,,,,,,catalogue_position
