lam_um,response
7.0264,0.3794
7.0311,0.3798
7.0359,0.37894
7.0407,0.38117
7.0455,0.38516
7.0503,0.38289
7.055,0.38261
7.0598,0.38462
7.0647,0.3845
7.0695,0.3863
7.0743,0.38821
7.0791,0.38955
7.084,0.39094
7.0888,0.39276
7.0937,0.39516
7.0985,0.39677
7.1034,0.39887
7.1082,0.40043
7.1131,0.40241
7.118,0.40566
7.1229,0.40715
7.1278,0.40907
7.1327,0.41169
7.1376,0.4133
7.1425,0.4169
7.1474,0.42029
7.1524,0.4211
7.1573,0.42284
7.1622,0.42524
7.1672,0.4284
7.1721,0.43178
7.1771,0.43372
7.1821,0.43704
7.1871,0.44217
7.192,0.44625
7.197,0.44845
7.202,0.45329
7.207,0.45913
7.212,0.46002
7.2171,0.46241
7.2221,0.46734
7.2271,0.47061
7.2322,0.47403
7.2372,0.47712
7.2423,0.48038
7.2473,0.48413
7.2524,0.48777
7.2575,0.49141
7.2625,0.49471
7.2676,0.49843
7.2727,0.50232
7.2778,0.50603
7.2829,0.50935
7.2881,0.51315
7.2932,0.51723
7.2983,0.51993
7.3035,0.52413
7.3086,0.52828
7.3138,0.5304
7.3189,0.5343
7.3241,0.53698
7.3293,0.53964
7.3345,0.54459
7.3396,0.54742
7.3448,0.55089
7.35,0.55481
7.3553,0.55741
7.3605,0.56106
7.3657,0.56376
7.3709,0.56639
7.3762,0.57036
7.3814,0.57395
7.3867,0.57699
7.392,0.58002
7.3972,0.58282
7.4025,0.58561
7.4078,0.58914
7.4131,0.5918
7.4184,0.59378
7.4237,0.59659
7.429,0.5998
7.4344,0.6025
7.4397,0.60424
7.445,0.60637
7.4504,0.60898
7.4557,0.61111
7.4611,0.61364
7.4665,0.61594
7.4718,0.61751
7.4772,0.61949
7.4826,0.6212
7.488,0.62243
7.4934,0.62377
7.4989,0.62529
7.5043,0.62736
7.5097,0.62838
7.5152,0.62931
7.5206,0.63113
7.5261,0.63194
7.5315,0.63299
7.537,0.63397
7.5425,0.63432
7.548,0.63496
7.5535,0.63516
7.559,0.63559
7.5645,0.63602
7.57,0.63692
7.5755,0.63856
7.5811,0.63834
7.5866,0.63806
7.5922,0.63887
7.5977,0.63882
7.6033,0.6393
7.6089,0.64022
7.6145,0.64084
7.6201,0.64126
7.6257,0.64132
7.6313,0.64207
7.6369,0.64288
7.6425,0.64348
7.6482,0.64397
7.6538,0.64378
7.6595,0.6439
7.6651,0.64444
7.6708,0.64509
7.6765,0.64516
7.6822,0.64534
7.6879,0.64637
7.6936,0.64654
7.6993,0.64701
7.705,0.64747
7.7107,0.64713
7.7165,0.64774
7.7222,0.64835
7.728,0.64859
7.7337,0.6487
7.7395,0.64905
7.7453,0.65042
7.7511,0.65086
7.7569,0.65177
7.7627,0.65379
7.7685,0.6545
7.7743,0.65551
7.7801,0.65666
7.786,0.6573
7.7918,0.65879
7.7977,0.66097
7.8035,0.66327
7.8094,0.66451
7.8153,0.66647
7.8212,0.66915
7.8271,0.66978
7.833,0.67155
7.8389,0.67469
7.8449,0.67687
7.8508,0.67887
7.8568,0.68127
7.8627,0.68451
7.8687,0.68687
7.8747,0.68894
7.8806,0.69255
7.8866,0.69533
7.8926,0.69774
7.8986,0.70057
7.9047,0.70264
7.9107,0.70549
7.9167,0.70921
7.9228,0.71214
7.9288,0.71465
7.9349,0.71789
7.941,0.72099
7.9471,0.72352
7.9532,0.7268
7.9593,0.7298
7.9654,0.73296
7.9715,0.73703
7.9776,0.74013
7.9838,0.74377
7.9899,0.74794
7.9961,0.75097
8.0023,0.75455
8.0084,0.75637
8.0146,0.75684
8.0208,0.75959
8.027,0.76196
8.0332,0.76281
8.0395,0.76436
8.0457,0.76642
8.052,0.76822
8.0582,0.76903
8.0645,0.77045
8.0708,0.77197
8.077,0.77257
8.0833,0.77378
8.0896,0.7748
8.096,0.7757
8.1023,0.77714
8.1086,0.77833
8.115,0.77877
8.1213,0.77911
8.1277,0.7804
8.1341,0.78101
8.1404,0.78165
8.1468,0.78306
8.1532,0.78341
8.1597,0.78437
8.1661,0.78643
8.1725,0.78739
8.179,0.78811
8.1854,0.78879
8.1919,0.78927
8.1984,0.79023
8.2048,0.79062
8.2113,0.79131
8.2178,0.79275
8.2244,0.79312
8.2309,0.79317
8.2374,0.79466
8.244,0.79686
8.2505,0.79771
8.2571,0.79813
8.2637,0.7988
8.2703,0.79948
8.2769,0.80079
8.2835,0.80148
8.2901,0.8026
8.2967,0.80473
8.3034,0.80584
8.31,0.80698
8.3167,0.80848
8.3234,0.80989
8.3301,0.81095
8.3368,0.81135
8.3435,0.81287
8.3502,0.8141
8.3569,0.81474
8.3636,0.81648
8.3704,0.81743
8.3772,0.81784
8.3839,0.81994
8.3907,0.82208
8.3975,0.82234
8.4043,0.82308
8.4111,0.82478
8.418,0.82508
8.4248,0.8258
8.4316,0.8277
8.4385,0.82879
8.4454,0.82971
8.4523,0.83045
8.4592,0.83087
8.4661,0.83171
8.473,0.83238
8.4799,0.83297
8.4868,0.83368
8.4938,0.83384
8.5008,0.83445
8.5077,0.83612
8.5147,0.83689
8.5217,0.83805
8.5287,0.83907
8.5357,0.83866
8.5428,0.83951
8.5498,0.84172
8.5569,0.84215
8.5639,0.84247
8.571,0.84422
8.5781,0.84509
8.5852,0.84513
8.5923,0.84605
8.5994,0.84698
8.6066,0.84656
8.6137,0.84722
8.6209,0.84907
8.6281,0.84867
8.6352,0.84848
8.6424,0.85068
8.6496,0.85134
8.6569,0.85106
8.6641,0.85262
8.6713,0.85366
8.6786,0.85337
8.6859,0.85437
8.6931,0.85591
8.7004,0.85642
8.7077,0.85804
8.7151,0.85995
8.7224,0.86059
8.7297,0.86246
8.7371,0.86444
8.7444,0.86566
8.7518,0.86769
8.7592,0.86914
8.7666,0.87061
8.774,0.87321
8.7815,0.87569
8.7889,0.87836
8.7964,0.88041
8.8038,0.88202
8.8113,0.88469
8.8188,0.88702
8.8263,0.88867
8.8338,0.89087
8.8414,0.89279
8.8489,0.89454
8.8565,0.89667
8.864,0.89905
8.8716,0.90111
8.8792,0.90314
8.8868,0.90561
8.8944,0.90735
8.9021,0.90971
8.9097,0.91379
8.9174,0.91756
8.9251,0.91976
8.9327,0.9219
8.9404,0.92463
8.9482,0.92717
8.9559,0.9306
8.9636,0.93322
8.9714,0.93516
8.9791,0.93865
8.9869,0.94153
8.9947,0.94525
9.0025,0.94944
9.0104,0.95201
9.0182,0.95504
9.026,0.95664
9.0339,0.95844
9.0418,0.96144
9.0497,0.96247
9.0576,0.96294
9.0655,0.96449
9.0734,0.96601
9.0814,0.96613
9.0893,0.96679
9.0973,0.96773
9.1053,0.96694
9.1133,0.96708
9.1213,0.96769
9.1293,0.96676
9.1374,0.966
9.1454,0.96722
9.1535,0.96851
9.1616,0.96757
9.1697,0.9674
9.1778,0.9674
9.1859,0.96589
9.1941,0.96551
9.2022,0.96521
9.2104,0.96331
9.2186,0.96125
9.2268,0.96021
9.235,0.96006
9.2432,0.95879
9.2515,0.95684
9.2597,0.95716
9.268,0.95692
9.2763,0.95411
9.2846,0.95348
9.2929,0.95407
9.3013,0.95183
9.3096,0.94965
9.318,0.94893
9.3264,0.94775
9.3348,0.94745
9.3432,0.94823
9.3516,0.94743
9.36,0.94527
9.3685,0.94489
9.377,0.9453
9.3854,0.94438
9.3939,0.94417
9.4025,0.94382
9.411,0.94278
9.4195,0.94359
9.4281,0.94416
9.4367,0.94372
9.4453,0.94237
9.4539,0.94192
9.4625,0.9432
9.4712,0.94246
9.4798,0.94291
9.4885,0.94453
9.4972,0.94329
9.5059,0.94338
9.5146,0.94539
9.5233,0.94695
9.5321,0.9481
9.5409,0.94958
9.5496,0.95155
9.5584,0.95354
9.5673,0.9562
9.5761,0.95847
9.585,0.96002
9.5938,0.96267
9.6027,0.9653
9.6116,0.96654
9.6205,0.96769
9.6294,0.97004
9.6384,0.97159
9.6474,0.97184
9.6563,0.97381
9.6653,0.9766
9.6744,0.9779
9.6834,0.97884
9.6924,0.9799
9.7015,0.98073
9.7106,0.98173
9.7197,0.98296
9.7288,0.98336
9.738,0.98341
9.7471,0.98486
9.7563,0.98548
9.7655,0.98482
9.7747,0.98614
9.7839,0.98719
9.7931,0.98678
9.8024,0.98761
9.8117,0.98835
9.8209,0.98726
9.8303,0.98582
9.8396,0.98674
9.8489,0.98881
9.8583,0.9888
9.8677,0.98961
9.8771,0.99124
9.8865,0.99108
9.8959,0.99201
9.9054,0.99382
9.9148,0.99457
9.9243,0.99531
9.9338,0.99619
9.9434,0.99592
9.9529,0.99584
9.9625,0.99793
9.972,0.99952
9.9816,0.99971
9.9913,1.0
10.0009,0.99923
10.0105,0.99619
10.0202,0.99384
10.0299,0.99146
10.0396,0.98923
10.0493,0.9859
10.0591,0.98351
10.0689,0.9822
10.0786,0.9782
10.0884,0.97466
10.0983,0.97344
10.1081,0.97146
10.118,0.96935
10.1278,0.96754
10.1377,0.96519
10.1477,0.96273
10.1576,0.96156
10.1676,0.96078
10.1775,0.95777
10.1875,0.95489
10.1976,0.95384
10.2076,0.95156
10.2177,0.94866
10.2277,0.94793
10.2378,0.94642
10.2479,0.94329
10.2581,0.94096
10.2682,0.93778
10.2784,0.93451
10.2886,0.93234
10.2988,0.92955
10.3091,0.92677
10.3193,0.92422
10.3296,0.92169
10.3399,0.91887
10.3502,0.91496
10.3606,0.9117
10.3709,0.90949
10.3813,0.90514
10.3917,0.89988
10.4021,0.89619
10.4126,0.89191
10.423,0.8876
10.4335,0.8845
10.444,0.88036
10.4546,0.87521
10.4651,0.87139
10.4757,0.86754
10.4863,0.86154
10.4969,0.85654
10.5075,0.85504
10.5182,0.85252
10.5289,0.85194
10.5396,0.85296
10.5503,0.852
10.561,0.85072
10.5718,0.85031
10.5826,0.85011
10.5934,0.84923
10.6042,0.8489
10.6151,0.84931
10.6259,0.84793
10.6368,0.84693
10.6478,0.84743
10.6587,0.84715
10.6697,0.84699
10.6807,0.84687
10.6917,0.84618
10.7027,0.84712
10.7138,0.84824
10.7248,0.84786
10.7359,0.84857
10.7471,0.84999
10.7582,0.85143
10.7694,0.85334
10.7806,0.85399
10.7918,0.85469
10.803,0.85633
10.8143,0.85643
10.8256,0.85705
10.8369,0.85929
10.8482,0.85929
10.8596,0.85882
10.871,0.86036
10.8824,0.86121
10.8938,0.86261
10.9053,0.86444
10.9168,0.86404
10.9283,0.86363
10.9398,0.8633
10.9513,0.8627
10.9629,0.86254
10.9745,0.86299
10.9861,0.8636
10.9978,0.86179
11.0095,0.85871
11.0212,0.85748
11.0329,0.8548
11.0446,0.85162
11.0564,0.84967
11.0682,0.84728
11.08,0.8445
11.0919,0.84138
11.1038,0.83771
11.1157,0.8359
11.1276,0.8342
11.1395,0.82999
11.1515,0.82665
11.1635,0.82378
11.1756,0.81989
11.1876,0.8176
11.1997,0.81411
11.2118,0.8086
11.2239,0.80517
11.2361,0.80086
11.2483,0.7946
11.2605,0.78947
11.2727,0.78424
11.285,0.77751
11.2973,0.77009
11.3096,0.76286
11.322,0.7546
11.3343,0.74468
