name,reference,atmosphere,teff,n_measured,flag,element,fired,z,phase_constraint,note,kills,survives
GALEXJ2339,Klein 2021,He,13735.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
GALEXJ2339,Klein 2021,He,13735.0,9,BE_WITHOUT_LI_B,,False,0.0,rest_of_panel_fit,Be within the natural envelope,,
GALEXJ2339,Klein 2021,He,13735.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 17,Gentile Fusillo 2017,He,8300.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 362,Xu 2013,He,10540.0,16,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
GD 362,Xu 2013,He,10540.0,16,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
GD 362,Xu 2013,He,10540.0,16,CU_ZN_SN_PB_ENRICHED,Cu,False,0.0,rest_of_panel_fit,,,
GD 362,Xu 2013,He,10540.0,16,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 362,Xu 2013,He,10540.0,16,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
GD 362,Xu 2013,He,10540.0,16,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
GD 362,Xu 2013,He,10540.0,16,CU_ZN_SN_PB_ENRICHED,Cu,False,0.0,rest_of_panel_fit,,,
GD 362,Xu 2013,He,10540.0,16,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD362,Zuckerman 2007,H,10450.0,15,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
GD362,Zuckerman 2007,H,10450.0,15,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
GD362,Zuckerman 2007,H,10450.0,15,CU_ZN_SN_PB_ENRICHED,Cu,False,0.0,rest_of_panel_fit,,,
GD362,Zuckerman 2007,H,10450.0,15,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 378,Klein 2021,He,15620.0,13,PURE_SI_WITHOUT_O_MG_FE,,False,0.05994392266666486,rest_of_panel_fit,,,
GD 378,Klein 2021,He,15620.0,13,BE_WITHOUT_LI_B,,False,0.0,rest_of_panel_fit,Be within the natural envelope,,
GD 378,Klein 2021,He,15620.0,13,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 378,Desharnais 2008,He,16600.0,6,PURE_SI_WITHOUT_O_MG_FE,,False,,rest_of_panel_fit,"Mg, O and Fe must all be constrained relative to Si",,
GD 40,Klein 2010,He,15300.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,0.5938610738809323,rest_of_panel_fit,,,
GD 40,Klein 2010,He,15300.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 40,Friedrich 1999,He,15150.0,5,PURE_SI_WITHOUT_O_MG_FE,,False,,unconstrained_full_grid,"Mg, O and Fe must all be constrained relative to Si",,
GD 40,Friedrich 1999,He,15150.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 40,Jura 2012,He,15300.0,13,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
GD 40,Jura 2012,He,15300.0,13,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
GD 40,Jura 2012,He,15300.0,13,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 424 (Keck),Izquierdo 2021,He,16560.0,10,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
GD 424 (Keck),Izquierdo 2021,He,16560.0,10,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
GD 424 (Keck),Izquierdo 2021,He,16560.0,10,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 61,Farihi 2011,He,17820.0,5,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,unconstrained_full_grid,,,
GD 61,Farihi 2011,He,17820.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
GD 61,Farihi 2013,He,17280.0,6,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,unconstrained_full_grid,,,
GD 61,Farihi 2013,He,17280.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
