kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_dor,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname,koi_count,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,tic_id,tic_route,has_ephemeris,has_depth,long_period
8949925,K02972.02,,CANDIDATE,CANDIDATE,42.02923,0.0008246,373.7,27.6,-27.6,0.017546,0.001064,-0.000611,0.015,0.441,-0.015,8.499,0.371,-0.371,,38.44,5850,4.297,1.217,15.085,290.73447,45.297791,0,0,0,0,q1_q17_dr25_tce,2,-0.0008246,138.8086,0.015,-0.015,,,True,True,True
8950568,K02038.01,Kepler-85 b,CONFIRMED,CANDIDATE,8.305377,3.937e-05,365.6,26.6,-26.6,0.017763,0.036224,-0.001801,0.489,0.634,-0.489,3.751,0.601,-0.601,,15.11,5435,4.495,0.873,14.779,290.97342,45.290321,0,0,0,0,q1_q17_dr25_tce,4,-3.937e-05,139.7437,0.0044,-0.0044,1.595807e+08,name_planet,True,True,False
8950568,K02038.02,Kepler-85 c,CONFIRMED,CANDIDATE,12.513533,6.151e-05,430.8,16.4,-16.4,0.019678,0.004392,-0.000897,0.596,0.035,-0.47,4.301,0.157,-0.157,,18.4,5435,4.495,0.873,14.779,290.97342,45.290321,0,0,0,0,q1_q17_dr25_tce,4,-6.151e-05,139.42461,0.00407,-0.00407,1.595807e+08,name_planet,True,True,False
8950568,K02038.03,Kepler-85 d,CONFIRMED,CANDIDATE,17.913421,0.0002149,197.8,18.5,-18.5,0.014619,0.003915,-0.002089,0.832,0.146,-0.587,4.364,0.244,-0.244,,18.24,5435,4.495,0.873,14.779,290.97342,45.290321,0,0,0,0,q1_q17_dr25_tce,4,-0.0002149,135.52921,0.00927,-0.00927,1.595807e+08,name_planet,True,True,False
8950568,K02038.04,Kepler-85 e,CONFIRMED,CANDIDATE,25.214914,0.0003992,174.1,23.8,-23.8,0.012512,0.001397,-0.000592,0.599,0.376,-0.389,5.76,0.514,-0.514,,27.3,5435,4.495,0.873,14.779,290.97342,45.290321,0,0,0,0,q1_q17_dr25_tce,4,-0.0003992,152.6912,0.0156,-0.0156,1.595807e+08,name_planet,True,True,False
8950853,K01412.01,Kepler-839 b,CONFIRMED,CANDIDATE,37.814525,0.000144,412.5,8,-8,0.021172,0.001373,-0.002511,0.845,0.059,-0.573,9.109,0.128,-0.128,,18.19,5988,4.278,1.314,13.601,291.07468,45.24258,0,0,0,0,q1_q17_dr25_tce,1,-0.000144,134.66424,0.00306,-0.00306,1.5958062e+08,name_planet,True,True,True
8951205,K04099.01,Kepler-1940 b,CONFIRMED,CANDIDATE,4.9506063,2.014e-05,309.5,21.5,-21.5,0.016376,0.000406,-0.001148,0.458,0.012,-0.458,1.719,0.125,-0.125,,19.98,5431,4.623,0.717,15.309,291.20419,45.238392,0,0,0,0,q1_q17_dr25_tce,1,-2.014e-05,132.80914,0.00334,-0.00334,1.5964736e+08,name_planet,True,True,False
8951215,K00924.01,,CANDIDATE,CANDIDATE,39.475909,0.0001317,1012.6,42.8,-42.8,0.036074,0.001545,-0.006936,0.938,0.011,-0.647,2.968,0.146,-0.146,,44.7,6225,4.45,1.031,15.229,291.20804,45.244389,0,0,0,0,q1_q17_dr25_tce,1,-0.0001317,173.31207,0.0025,-0.0025,,,True,True,True
8953278,K07111.01,,CANDIDATE,CANDIDATE,23.59919,,,,,,,,,,,2.05,,,,,,,,15.365,291.92896,45.231838,0,0,0,0,q1_q17_dr24_tce,1,,134.27976,,,,,True,False,False
8956206,K02048.01,Kepler-1071 b,CONFIRMED,CANDIDATE,6.1799851,1.553e-05,750.5,29.4,-29.4,0.024584,0.001065,-0.000645,0.175,0.29,-0.175,2.1094,0.0684,-0.0684,,22.6,5149,4.551,0.791,15.801,293.05801,45.248821,0,0,0,0,q1_q17_dr25_tce,2,-1.553e-05,132.72278,0.00207,-0.00207,2.7549072e+08,name_planet,True,True,False
