source_id,kind,depth,ratio,g_noise,snr,med_flux_g,s_col,colour_testable,pre_existing_event,recovered,grey_class,coherence,tier
22698769016130560,grey,0.04195766509036354,1.0,0.0046679241536598075,8.988506177305245,41170.80327896583,0.007786388667189815,False,False,True,G_ONLY,MULTI,C
22698769016130560,dust,0.04195766509036354,1.7,0.0046679241536598075,8.988506177305245,41170.80327896583,0.007786388667189815,False,False,True,G_ONLY,MULTI,C
22819474776979840,grey,0.11539382371179094,1.0,0.008257865569562537,13.973807485691966,23306.474323341237,0.00985712975033263,True,False,True,GREY,MULTI,A
22819474776979840,dust,0.11539382371179094,1.7,0.008257865569562537,13.973807485691966,23306.474323341237,0.00985712975033263,True,False,True,CHROMATIC_BLUE,MULTI,C
22979483783449728,grey,0.08676810624818862,1.0,0.013560662095071884,6.398515473644996,207590.9296985764,0.0056186174872883705,True,False,True,CHROMATIC_RED,MULTI,C
22979483783449728,dust,0.08676810624818862,1.7,0.013560662095071884,6.398515473644996,207590.9296985764,0.0056186174872883705,True,False,True,CHROMATIC_BLUE,MULTI,C
23116372980890240,grey,0.38136838990661576,1.0,0.0885967832772932,4.30453991442326,143.1491880605601,0.4746475635989999,False,False,True,G_ONLY,MULTI,C
23116372980890240,dust,0.38136838990661576,1.7,0.0885967832772932,4.30453991442326,143.1491880605601,0.4746475635989999,False,False,False,,,
23295249778575744,grey,0.21806626793818432,1.0,0.07265545525972464,3.0013750124977303,173.67975254034272,0.42813851727905805,False,False,False,,,
23295249778575744,dust,0.21806626793818432,1.7,0.07265545525972464,3.0013750124977303,173.67975254034272,0.42813851727905805,False,False,False,,,
23421109500349440,grey,0.27353228735832297,1.0,0.07063985362540401,3.8722091471032343,1999.9666050095898,0.1248449233024513,False,False,False,,,
23421109500349440,dust,0.27353228735832297,1.7,0.07063985362540401,3.8722091471032343,1999.9666050095898,0.1248449233024513,False,False,False,,,
23544156018885248,grey,0.030852428786684774,1.0,0.004849132139892303,6.362464023793336,40460.93321699004,0.007371430685735689,False,False,True,GREY,MULTI,A
