source_id,ra,dec,parallax_mas,is_etz,n_annulus,annulus_density_per_deg2,bright_source_max_jy,n_trials,best_aperture_arcsec,best_d_au,best_phase,best_dx_arcsec,best_dy_arcsec,best_n_obs,best_lambda,p_raw,p_trials,n_sources_in_reach,n_x_30,lambda_30,n_x_60,lambda_60,n_x_120,lambda_120,n_x_204,lambda_204,n_x_300,lambda_300,n_x_600,lambda_600,veto,masked_by_bad_tile,is_candidate,control_+ra_veto,control_+ra_p_trials,control_-ra_veto,control_-ra_p_trials,control_+dec_veto,control_+dec_p_trials,control_-dec_veto,control_-dec_p_trials,n_control_evaluated,n_control_fired,control_min_p_trials,p_empirical_control
701194956292698880,141.54896576693474,32.614439159635566,24.651203190932325,False,250,852.6157665637252,,123,204.0,500.0,0.25,-314.54963959850545,172.38001419868843,6,8.601190476190476,0.2455533199365604,1.0,667,0,0.1860119047619048,0,0.7440476190476192,5,2.9761904761904767,14,8.601190476190476,21,18.601190476190478,81,74.40476190476191,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,1.0,1.0
1456131597111899008,203.3828545490909,30.157908070760833,24.65114291276567,False,221,753.7123376423331,,82,300.0,2000.0,0.625,-84.94513931490452,-7.026858615536211,10,16.443452380952383,0.06348251597051974,1.0,558,0,0.16443452380952384,0,0.6577380952380953,2,2.6309523809523814,6,7.6034523809523815,12,16.443452380952383,62,65.77380952380953,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,1.0,1.0
1258095809053600896,209.8371320202554,25.23371312753785,24.65007493236245,False,0,0.0,,0,,,,,,-1,,,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,not_significant,1.0,outside_footprint_or_masked,,outside_footprint_or_masked,,1,0,1.0,
867464856991819008,115.1049713381035,24.130761343572075,24.649917164321284,False,0,0.0,,0,,,,,,-1,,,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,
4001560011083799168,182.7501286503946,22.86145994139754,24.647455932824926,False,0,0.0,,0,,,,,,-1,,,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,
1407866678784910336,253.95077883227503,47.658181595229166,24.645547766864972,False,0,0.0,,0,,,,,,-1,,,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,
931088337850049664,126.88982139885456,49.18840534678339,24.643900002449296,False,213,726.4286331122938,,82,300.0,500.0,0.875,373.1385547415105,-10.769701150348439,5,15.848214285714286,0.001541096789585272,0.1263699367459923,633,1,0.15848214285714288,1,0.6339285714285715,1,2.535714285714286,4,7.328214285714286,14,15.848214285714286,65,63.392857142857146,not_significant,False,False,not_significant,1.0,not_significant,0.00012125154346420506,not_significant,1.0,not_significant,1.0,4,0,0.00012125154346420506,0.10329774991071074
4022159838170692224,171.2456185406352,28.94241844642153,24.634828038892763,False,203,692.3240024497449,,82,300.0,500.0,0.625,-169.25517157226457,-93.93966441907156,10,15.10416666666667,0.11348808815288117,1.0,520,0,0.15104166666666669,0,0.6041666666666667,0,2.416666666666667,6,6.984166666666667,15,15.10416666666667,58,60.41666666666668,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,1.0,1.0
897128439461463808,110.63579698086824,35.892030361000394,24.631755281646257,False,182,620.7042780583919,,82,300.0,500.0,0.875,330.4119504367473,10.584884302482765,7,13.541666666666668,0.04056616164696963,1.0,445,0,0.13541666666666669,0,0.5416666666666667,0,2.166666666666667,7,6.261666666666667,10,13.541666666666668,53,54.16666666666667,not_significant,False,False,not_significant,1.0,not_significant,1.0,not_significant,1.0,not_significant,1.0,4,0,1.0,1.0
4577952284436867584,273.09220255615975,22.5976461007417,24.631089574430675,False,0,0.0,,0,,,,,,-1,,,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,outside_footprint_or_masked,False,False,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,outside_footprint_or_masked,,0,0,,
